exp,problema,D,M,q,status,motivo,n_retries,fallback_ativado,jsonl_bad,fe_ok,fe_dense,init_ok,gens,gens_ok,fits_eq_gens,ntreino_step_ok,ntreino_first,ntreino_last,fetm_mono,fetm_min,fetm_max,fe_eq_ntrain_q,fe_increasing,ngen10,draws_ok,pop_ok,kernel_ok,yvar_ok,flag,espaco,hp_moves,ard_ok,assert_ok,nlote_ok,lote_menor,lote_comp,min_front_acq,seeds_ok,nystrom_ok,cache_hits_dec,cache_hits_footer,cache_hits_man,fit_retries,front_eq,sonda_n,sonda_n_ok,sonda_pts_ok,sonda_hash_ok,sonda_gens_ok,qj_idx,qj_val,qj_rsid,qj_maxdiff,n_infill_rows,fantasy_med,sigma_pos,timing_rows_ok,t_inv1_viol,t_sonda_gens,t_inv2_hold
main,DTLZ3,12,3,1,ok,orcamento,0,False,0,True,True,True,240,True,True,True,131,370,True,130,369,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,70,True,True,0,0,0,0,240,121,True,True,True,True,240,240,240,5.2856542920309835e-08,240,"[61.9307, 70.0054, 94.5967]",True,True,0,121,121
main,DTLZ4,12,3,1,ok,orcamento,0,False,0,True,True,True,240,True,True,True,131,370,True,130,369,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,27,True,True,0,0,0,0,240,121,True,True,True,True,240,240,240,5.359801769078132e-08,240,"[0.0949, 0.0023, 0.004]",True,True,0,121,121
main,DTLZ7,22,3,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,83,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,4.844065393250219e-08,440,"[0.0011, 0.0011, 0.2329]",True,True,0,221,221
main,WFG1,22,2,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,12,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,6.198638824450597e-08,440,"[0.0118, 0.0118]",True,True,0,221,221
main,WFG2,22,2,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,6,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,5.754810206148875e-08,440,"[0.0401, 0.2329]",True,True,0,221,221
main,WFG4,22,2,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,17,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,5.875543607203326e-08,440,"[0.0869, 0.2037]",True,True,0,221,221
main,WFG5,22,2,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,17,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,7.08757772471813e-08,440,"[0.0498, 0.0636]",True,True,0,221,221
main,WFG9,22,2,1,ok,orcamento,0,False,0,True,True,True,440,True,True,True,241,680,True,240,679,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,8,True,True,0,0,0,0,440,221,True,True,True,True,440,440,440,6.718380340942076e-08,440,"[0.3458, 0.6344]",True,True,0,221,221
main,BBOB_F1,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,17,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,1.8996223427603098e-08,200,"[0.0748, 0.0664]",True,True,0,101,101
main,BBOB_F5,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,17,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,3.0619592278346985e-08,200,"[0.106, 10.7339]",True,True,0,101,101
