alg,problema,semente,delta,vitoria,piso
Prob-RVEA,WFG5,7,-3.0811900645218264,False,moead_media
Prob-RVEA,WFG5,16,-2.4875196825075676,False,moead_media
Prob-RVEA,WFG5,42,-0.32473357150443344,False,moead_media
Prob-RVEA,WFG5,6,-0.34725915797587414,False,moead_media
Prob-RVEA,WFG5,28,-1.055846666694265,False,moead_media
Prob-RVEA,WFG5,17,-0.5532522159418497,False,moead_media
Prob-RVEA,WFG5,1,-0.4926415787487693,False,moead_media
Prob-RVEA,WFG5,10,-1.0408293646329978,False,moead_media
Prob-RVEA,WFG5,19,-0.35865142207763673,False,moead_media
Prob-RVEA,WFG5,8,0.16525231661199308,True,moead_media
Prob-RVEA,WFG5,21,-1.5001533491573178,False,moead_media
Prob-RVEA,WFG5,24,-0.01020083329620842,False,moead_media
Prob-RVEA,WFG5,23,-0.8555955199498306,False,moead_media
Prob-RVEA,WFG5,4,-0.1520816872623056,False,moead_media
Prob-RVEA,WFG5,15,-1.4774729080170077,False,moead_media
Prob-RVEA,WFG5,3,-0.1798380951558258,False,moead_media
Prob-RVEA,WFG5,12,-0.7790848423811582,False,moead_media
Prob-RVEA,WFG5,2,-0.8109124847496538,False,moead_media
Prob-RVEA,WFG5,13,-0.9196677623025231,False,moead_media
Prob-RVEA,WFG5,5,-0.7862751821909976,False,moead_media
Prob-RVEA,WFG5,14,-0.5621024390593586,False,moead_media
Prob-RVEA,WFG5,22,-0.886566959307554,False,moead_media
Prob-RVEA,WFG5,25,-0.4159188698782713,False,moead_media
Prob-RVEA,WFG9,20,0.3304308251413938,True,moead_media
Prob-RVEA,WFG9,18,0.3813038170600822,True,moead_media
Prob-RVEA,WFG9,27,0.4890419004298765,True,moead_media
Prob-RVEA,WFG9,9,-0.04356867739161532,False,moead_media
Prob-RVEA,WFG9,0,0.04057727540849902,True,moead_media
Prob-RVEA,WFG9,11,0.6289797697553476,True,moead_media
Prob-RVEA,WFG9,7,0.5028849678029728,True,moead_media
Prob-RVEA,WFG9,16,-0.03438856104799124,False,moead_media
Prob-RVEA,WFG9,42,0.27627990194192453,True,moead_media
Prob-RVEA,WFG9,6,0.2656247825625632,True,moead_media
Prob-RVEA,WFG9,28,-0.6256066807322285,False,moead_media
Prob-RVEA,WFG9,17,0.48027637083741187,True,moead_media
Prob-RVEA,WFG9,1,0.49265523924318183,True,moead_media
Prob-RVEA,WFG9,10,0.23457303656718265,True,moead_media
Prob-RVEA,WFG9,19,0.08581797250131966,True,moead_media
Prob-RVEA,WFG9,8,0.23393572044718716,True,moead_media
Prob-RVEA,WFG9,21,0.5594044579328614,True,moead_media
Prob-RVEA,WFG9,24,0.15940356530398522,True,moead_media
Prob-RVEA,WFG9,23,-0.6056034389924252,False,moead_media
Prob-RVEA,WFG9,4,0.15827094338202885,True,moead_media
Prob-RVEA,WFG9,15,0.2933438940945811,True,moead_media
Prob-RVEA,WFG9,3,0.22412891287738093,True,moead_media
Prob-RVEA,WFG9,12,0.6059300132180486,True,moead_media
Prob-RVEA,WFG9,2,0.2895820986728985,True,moead_media
Prob-RVEA,WFG9,13,0.568528174164982,True,moead_media
Prob-RVEA,WFG9,5,0.015368674188265036,True,moead_media
Prob-RVEA,WFG9,14,0.3233785034877219,True,moead_media
Prob-RVEA,WFG9,22,0.46294570314225564,True,moead_media
Prob-RVEA,WFG9,25,-0.7090390682109016,False,moead_media
Prob-RVEA,ZDT1,20,-0.5503728450224092,False,moead_media
Prob-RVEA,ZDT1,18,0.1179802825956511,True,moead_media
Prob-RVEA,ZDT1,27,0.28652247424085553,True,moead_media
Prob-RVEA,ZDT1,9,0.12287708129330395,True,moead_media
Prob-RVEA,ZDT1,0,-0.8136083643761447,False,moead_media
Prob-RVEA,ZDT1,11,-0.5628325848678639,False,moead_media
Prob-RVEA,ZDT1,7,-1.3448343012793975,False,moead_media
Prob-RVEA,ZDT1,16,-16.411667061249318,False,moead_media
Prob-RVEA,ZDT1,42,-0.5202409769914066,False,moead_media
Prob-RVEA,ZDT1,6,-1.0434245979987642,False,moead_media
Prob-RVEA,ZDT1,28,-0.6568766553567973,False,moead_media
Prob-RVEA,ZDT1,17,-0.7982248679926347,False,moead_media
Prob-RVEA,ZDT1,1,-0.210288937609475,False,moead_media
Prob-RVEA,ZDT1,10,0.1030173301802548,True,moead_media
Prob-RVEA,ZDT1,19,-1.2055096995724093,False,moead_media
Prob-RVEA,ZDT1,8,-0.354517063070614,False,moead_media
Prob-RVEA,ZDT1,21,-0.3894130051631446,False,moead_media
Prob-RVEA,ZDT1,24,-0.12377710418409008,False,moead_media
Prob-RVEA,ZDT1,23,-11.33528985421586,False,moead_media
