alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
CSEA,WFG5,-0.01701210301697061,0.36666666666666664,30,0.25343610532581806
CSEA,WFG9,-0.10605446686098019,0.3,30,0.02084985189139843
CSEA,ZDT1,0.09475512649137041,0.4642857142857143,28,
CSEA,ZDT3,0.02244939341657965,0.5357142857142857,28,0.5823858305811882
CSEA,ZDT4,,0.0,29,
CSEA,ZDT6,,0.0,29,
θ-DEA-DP,BBOB_F1,1.0658391399934328,1.0,30,1.862645149230957e-09
θ-DEA-DP,BBOB_F17,0.07992286052486519,1.0,30,1.862645149230957e-09
θ-DEA-DP,BBOB_F22,5.69500209319833,0.8666666666666667,30,
θ-DEA-DP,BBOB_F37,1.3329585370718615,1.0,30,1.862645149230957e-09
θ-DEA-DP,BBOB_F49,1.1114000824718064,1.0,30,1.862645149230957e-09
θ-DEA-DP,BBOB_F5,1.1635597971212044,1.0,30,1.862645149230957e-09
θ-DEA-DP,BBOB_F55,5.161376028350551,1.0,30,1.862645149230957e-09
θ-DEA-DP,DDMOP7,0.04068726639527942,0.8,30,0.001038169488310814
θ-DEA-DP,DTLZ1,,0.0,30,
θ-DEA-DP,DTLZ2,1.727678474616596,1.0,30,1.862645149230957e-09
θ-DEA-DP,DTLZ3,,0.0,29,
θ-DEA-DP,DTLZ4,4.714713525831409,0.9,30,
θ-DEA-DP,DTLZ7,,0.0,28,
θ-DEA-DP,MMF1,-0.005211347510556954,0.4666666666666667,30,0.8871948085725307
θ-DEA-DP,MMF11_L,0.07743095760420314,1.0,30,1.862645149230957e-09
θ-DEA-DP,MMF16_20,0.1580260549207441,1.0,29,3.725290298461914e-09
θ-DEA-DP,MMF4,0.04305751928477085,0.8333333333333334,30,2.6885420083999634e-05
θ-DEA-DP,RE21,0.1349960358165859,1.0,30,1.862645149230957e-09
θ-DEA-DP,WFG1,-1.0,0.0,27,
θ-DEA-DP,WFG2,0.08360482448736589,0.9375,16,9.1552734375e-05
θ-DEA-DP,WFG4,0.26250654205814744,1.0,5,0.0625
θ-DEA-DP,WFG5,0.9519499782058222,1.0,21,9.5367431640625e-07
θ-DEA-DP,WFG9,1.0304858291397512,1.0,6,0.03125
θ-DEA-DP,ZDT1,,0.0,24,
θ-DEA-DP,ZDT3,,0.0,5,
