label,exp,problema,obj,n,rho_dw_dls,rho_dw_dosc,rho_dcv_dls,rho_dsm_dosc,rho_dsm_dls,ls_ini,ls_fim,ls_razao,osc_ini,osc_fim,osc_razao,maior_queda_wape,ls_no_maior_salto,osc_no_maior_salto
WFG9,main,WFG9,1,220,-0.6262736457740486,0.4473236674687118,-0.4061757277194349,0.7200633371463346,-0.6849484117816109,0.3605496288853748,0.8767261273169406,2.431637858087125,0.9985195813645459,0.6995814353123989,0.7006186442096335,-0.07414601217679717,0.46636495818186985,-0.07592712348018427
ZDT1,main,ZDT1,0,300,-0.9384339825998066,0.686743630484783,0.030867558301085535,0.8842404915610174,-0.9750041667129635,2.75309647647499,8.41104745353203,3.055122668385878,0.03161375953246336,0.010994206699999695,0.3477665061857013,-0.01969907303993068,0.006750907361535274,-0.01626212497630375
ZDT1,main,ZDT1,1,300,-0.45386726519183546,0.12325070278558649,0.02071944114644578,0.3899994444382715,-0.8044604940054889,1.8595802635977592,3.65635577729475,1.9662263839156588,0.18828191755049364,0.1810485357766895,0.961582174922006,-0.024094253708179636,-0.004033861268546657,0.003615387930970382
ZDT3,main,ZDT3,0,300,-0.8817017966866297,0.6560299558883987,-0.010286126297995224,0.8179704218935767,-0.9603835598173314,2.750189358271998,8.371341082454105,3.0439144334824983,0.03280178864079671,0.01100534816757758,0.3355106115734753,-0.06707834478720809,0.0026406845822526392,0.0026078144540431225
ZDT3,main,ZDT3,1,300,-0.6133521483572039,-0.005256058400648896,0.07722908616758681,0.011909021211346793,-0.518009311214569,0.9371100719358433,4.214513200407742,4.497351300153647,0.5596999104281829,0.279677881941285,0.49969256155021574,-1.8028737849821956,0.9281809017496787,0.06733600180900723
ZDT4,main,ZDT4,0,100,-0.9652085208520851,0.8155895589558955,-0.1373425332242572,0.8405640564056405,-0.9789138913891389,2.6728330245870895,6.90592983526976,2.583749067653269,0.09197273445364833,0.04761300700868474,0.5176861087312823,-0.06783516646234578,0.01997057012206671,-0.03315033082653418
ZDT4,main,ZDT4,1,100,-0.001488148814881488,-0.41645364536453644,-0.34537315740258,0.18046204620462045,-0.49710171017101706,0.4651948692286603,0.5071907138454045,1.0902758121265987,0.9167696248909126,0.8935863091636824,0.97471195042049,-0.030034451840424303,-0.011315395397025196,0.02781796050233193
ZDT6,main,ZDT6,0,100,-0.7921872187218721,0.8056765676567657,0.06746606991618714,0.8973897389738973,-0.857173717371737,0.5374127137512558,6.068975149495328,11.292950453539856,0.8959433465778635,0.036232297807184746,0.04044038939021902,-2.3808825708175956,1.4339275557143898,-1.2511934988876543
ZDT6,main,ZDT6,1,100,-0.05946594659465946,0.06720672067206719,-0.25751116238436333,-0.15895589558955894,-0.8363396339633963,1.6495192200317537,2.0402341301603024,1.2368659336512777,0.6662187909739841,0.7395202739951636,1.1100261415833317,-0.08976429678500253,0.013745889827773194,0.06415664635046436
q10_DTLZ2,batch,DTLZ2,0,100,-0.8859285928592858,-0.7697569756975697,0.17438852350167106,-0.7222322232223222,-0.9298769876987697,1.1521996202253575,7.3345624824997095,6.365704651998714,0.39329726181649544,11.248980994238268,28.601727208278444,-0.10081011034452647,0.0608836933135882,0.0381104879992793
q10_DTLZ2,batch,DTLZ2,1,100,-0.8981098109810981,-0.8207260726072606,0.31192606329995903,-0.8593099309930992,-0.8887368736873685,1.2598453625595187,7.2846215187573575,5.7821552828974365,0.3238566765656568,11.074148120518808,34.19459570188512,-0.09888316351758597,0.035838618699816416,0.086980460004207
q10_DTLZ2,batch,DTLZ2,2,100,-0.8435643564356435,-0.7812301230123011,0.22359354961604858,-0.7418901890189018,-0.937017701770177,1.1925061503351095,12.461771013728443,10.450068547006257,0.3399441593958505,13.676605370414253,40.23191748527272,-0.14980004887036014,0.06315208207198997,0.10010920455289507
q10_MMF16_20,batch,MMF16_20,0,100,-0.4162856285628563,0.0826162616261626,-0.2727931593771044,0.27972397239723973,-0.6667266726672666,1.3722520966205625,15.54198375398342,11.32589543295913,0.19512572516593596,0.07204995646636993,0.3692488850719107,-2.8183968763146177,1.7928819812348558,-0.7748706023455192
q10_MMF16_20,batch,MMF16_20,1,100,-0.5384338433843384,0.1726252625262526,-0.23784961010659333,0.32812481248124814,-0.856105610561056,1.4079189514020858,15.48816163038993,11.000748029541002,0.18932887872587684,0.07006416416749463,0.37006591196759936,-2.9598266867396816,1.8977984457282813,-0.8154706971389083
q10_MMF16_20,batch,MMF16_20,2,100,-0.7197479747974797,0.44007200720072004,-0.1545692089193573,0.3574077407740774,-0.8237743774377437,1.1591017153786098,17.725378573055675,15.29234090320179,0.19140485194396425,0.038062595969749785,0.19885909674271476,-2.9607048778202483,1.5093634530764304,-0.9654758267472379
q10_WFG9,batch,WFG9,0,100,-0.5862586258625863,0.19698769876987698,-0.17790658879305773,0.5794299429942993,-0.6187818781878186,0.586511448110285,0.9867424001111501,1.6823923953920972,0.9269382269159275,0.5391097998118786,0.5816027262200455,-0.035798411200916425,0.13348259520356703,-0.07020420734150161
q10_WFG9,batch,WFG9,1,100,-0.5182238223822382,0.3259405940594059,-0.32123075509319166,0.6598019801980197,-0.6858685868586858,0.3605496288853748,0.8671573907524975,2.405098553098726,0.9985195813645459,0.5495071575017045,0.5503218642450307,-0.08229831898682916,0.5182307481872442,-0.08905635041206812
q10_ZDT1,batch,ZDT1,0,100,-0.9090669066906689,0.8419321932193219,0.04841262002541817,0.7987758775877587,-0.9944194419441943,2.75309647647499,12.535186627741615,4.553122905373596,0.03161375953246336,0.010017747079821991,0.3168793344409109,-0.14905653646712214,0.05946557309518519,-0.09012952688610154
q10_ZDT1,batch,ZDT1,1,100,-0.7555355535553555,0.27546354635463544,0.07647488434479972,0.36937293729372933,-0.8112811281128113,1.8595802635977592,6.429696072657183,3.4576061052710623,0.18828191755049364,0.2624099295003047,1.3937075472472353,-0.07966167373190913,0.04547356476001052,-0.02506599946767496
q10_ZDT4,batch,ZDT4,0,100,-0.7872547254725472,0.22436243624362434,-0.23018831904802042,0.028754875487548754,-0.9527152715271526,2.6728330245870895,11.426841323367874,4.275179638328938,0.09197273445364833,0.08019833482561566,0.8719794545853518,-0.38215698760583106,0.183135568521422,-0.09184135518871672
q10_ZDT4,batch,ZDT4,1,100,-0.1281248124812481,0.09971797179717971,-0.17285242475190601,0.41201320132013197,-0.19073507350735072,0.4651948692286603,0.3077467491651203,0.6615437304271976,0.9167696248909126,0.6684751498017867,0.7291637197091136,-0.03670120693147583,0.06275065362175336,0.024226518350552062
