label,problema,alg,n_final,n_nd,fantasia,igd_plus,hv,igd,gd,spacing,sigma_nn_med,sigma_nn_mean,x_unicos
ZDT4,ZDT4,c311,50,49,0.98,184.67447910236896,0.0,184.67447910236896,189.79996230331938,0.22308092098455543,11.115946769714355,10.356424388764426,50
ZDT4,ZDT4,e103,100,7,0.07,71.04039062238674,0.0,71.04119971650246,82.82187215408018,9.625264613179079,4.698725000023842,4.452676639128477,95
ZDT6,ZDT6,b5m,50,12,0.24,6.636510736363153,0.0,6.636510736363153,7.017701947533458,0.07501073659754898,0.09511769190430641,0.1201139423251152,48
ZDT6,ZDT6,b5r,38,9,0.23684210526315788,3.4240902294118722,0.0,3.4240902294118722,5.811649567160118,0.3658159248124293,0.15968985110521317,0.1647236330532714,38
ZDT6,ZDT6,moead_media,50,18,0.36,0.1077692969646471,0.10911523344313315,0.1699210978773371,0.45790998062377686,2.1654936267053886,0.23289522528648376,0.23194275438785553,3
ZDT6,ZDT6,c311,50,2,0.04,1.0735287988472275,0.0,1.074702896691856,0.7444885755011835,0.0,0.19693060219287872,0.21002813071012497,50
ZDT6,ZDT6,e103,100,5,0.05,0.4607021940394449,0.0604812978246083,0.4657054725356431,6.590310824089528,3.687928338995441,0.21615252643823624,0.22558815501630305,100
swap_medium-lhs_DTLZ2,DTLZ2,b5m,105,66,0.6285714285714286,0.06522322281380545,0.6152827350812673,0.10306368303131215,0.07401192341999902,0.08867056905453878,0.02140837286909421,0.02374083275004985,105
swap_medium-lhs_DTLZ2,DTLZ2,b5r,100,90,0.9,0.03412091276374354,0.716343012900833,0.06337285544990777,0.020752049043138314,0.07067061320856476,0.01769213502605756,0.018494229974846045,100
swap_medium-lhs_DTLZ2,DTLZ2,moead_media,105,105,1.0,2.6858554259615,0.0,2.770495214059737,2.326154947280884,0.0,0.10933796813090642,0.10933796813090642,1
swap_medium-lhs_DTLZ2,DTLZ2,c311,104,102,0.9807692307692307,0.0254885959313541,0.737335341113488,0.05671725409511683,0.01148927475884438,0.04800577842118138,0.01769213502605756,0.018800267194493268,104
swap_medium-lhs_DTLZ2,DTLZ2,e103,100,70,0.7,0.07025194443304997,0.5978695098580783,0.11161695679022685,0.04431334042938779,0.10227486199309124,0.020002391189336777,0.02113735031026105,100
swap_medium-lhs_MMF16_20,MMF16_20,b5m,105,40,0.38095238095238093,0.9554466398286063,0.0,1.1975839786156515,0.377353174008099,0.010111570850500129,0.6095338612794876,0.6290336918736262,51
