prob,tag,it,i,j,mapa,rel,exato
DTLZ1,s42,125,13,26,naive,0.12770207497385339,False
DTLZ1,s42,125,13,27,decl,0.0,True
DTLZ1,s42,125,13,27,naive,0.1548649233571256,False
DTLZ1,s42,125,26,27,decl,0.0,True
DTLZ1,s42,125,26,27,naive,0.03113941648142521,False
DTLZ1,s42,126,17,19,decl,0.0,True
DTLZ1,s42,126,17,19,naive,0.16032536262410996,False
DTLZ1,s42,126,17,20,decl,0.0,True
DTLZ1,s42,126,17,20,naive,0.010923603914011433,False
DTLZ1,s42,126,17,30,decl,0.0,True
DTLZ1,s42,126,17,30,naive,0.017157627982591676,False
DTLZ1,s42,126,19,20,decl,0.0,True
DTLZ1,s42,126,19,20,naive,0.16949763577944535,False
DTLZ1,s42,126,19,30,decl,0.0,True
DTLZ1,s42,126,19,30,naive,0.14566703544501075,False
DTLZ1,s42,126,20,30,decl,0.0,True
DTLZ1,s42,126,20,30,naive,0.02789380876441732,False
DTLZ1,s42,127,10,29,decl,0.0,True
DTLZ1,s42,127,10,29,naive,0.14432121644258483,False
DTLZ1,s42,128,11,16,decl,0.0,True
DTLZ1,s42,128,11,16,naive,0.0,True
DTLZ1,s42,128,30,34,decl,0.0,True
DTLZ1,s42,128,30,34,naive,0.33635651077467227,False
DTLZ1,s42,130,6,18,decl,0.0,True
DTLZ1,s42,130,6,18,naive,0.1960910949580272,False
DTLZ1,s42,130,6,34,decl,0.0,True
DTLZ1,s42,130,6,34,naive,0.26433065425254376,False
DTLZ1,s42,130,7,19,decl,0.0,True
DTLZ1,s42,130,7,19,naive,0.0,True
DTLZ1,s42,130,18,34,decl,0.0,True
DTLZ1,s42,130,18,34,naive,0.08488469137053996,False
DTLZ1,s42,131,17,21,decl,0.0,True
DTLZ1,s42,131,17,21,naive,0.1326730174309348,False
DTLZ1,s42,131,17,30,decl,0.0,True
DTLZ1,s42,131,17,30,naive,0.1359185930599419,False
DTLZ1,s42,131,21,30,decl,0.0,True
DTLZ1,s42,131,21,30,naive,0.0037420438822202344,False
DTLZ1,s42,137,12,13,decl,0.0,True
DTLZ1,s42,137,12,13,naive,0.2709984267851042,False
DTLZ1,s42,138,2,21,decl,0.0,True
DTLZ1,s42,138,2,21,naive,0.0,True
DTLZ1,s42,138,16,20,decl,0.0,True
DTLZ1,s42,138,16,20,naive,0.0,True
MMF1,s42,1,3,8,decl,8.8104119992146e-14,False
MMF1,s42,1,3,8,naive,6.011810540640719e-14,False
MMF1,s42,1,3,9,decl,8.991802834492531e-14,False
MMF1,s42,1,3,9,naive,8.8104119992146e-14,False
MMF1,s42,1,8,9,decl,1.813908352779473e-15,False
MMF1,s42,1,8,9,naive,2.7986014585740494e-14,False
MMF1,s42,3,1,9,decl,7.761033949584592e-15,False
MMF1,s42,3,1,9,naive,7.761033949584592e-15,False
MMF1,s42,4,3,6,decl,8.315622797305601e-14,False
