prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F1,102,1,0.0001,1.036551228639302,4.730534553527832,0.998,0.021699461619762824
BBOB_F1,104,0,0.0001,1.045433804640468,4.60231876373291,0.9955,0.02149298131794003
BBOB_F1,104,1,0.0001,1.0487155171351665,4.687895774841309,0.9985,0.02095816101778203
BBOB_F1,106,0,0.0001,1.0681257640134638,4.611279010772705,0.9965,0.02092156545488147
BBOB_F1,106,1,0.0001,1.065279438326555,4.585071563720703,0.9985,0.020681923797253556
BBOB_F1,108,0,0.0001,1.0318246091223675,4.525799751281738,0.9955,0.02136728477309277
BBOB_F1,108,1,0.0001,1.0884555146540036,4.548850059509277,0.998,0.021172855436350467
BBOB_F1,110,0,0.0001,1.068194887443846,4.475452423095703,0.996,0.02086743741002949
BBOB_F1,110,1,0.0001,1.1177160246304956,4.497889518737793,0.998,0.02071475903452863
BBOB_F1,112,0,0.0001,1.0613106036897813,4.433228492736816,0.9955,0.02079610479031066
BBOB_F1,112,1,0.0001,1.1454619305387261,4.435582637786865,0.998,0.02047933203782378
BBOB_F1,114,0,0.0001,1.0528639110588789,4.411273956298828,0.9955,0.020554924394752535
BBOB_F1,114,1,0.0001,1.1441206782282625,4.412668228149414,0.998,0.02042354410143854
BBOB_F1,116,0,0.0001,1.076922895489024,4.362315654754639,0.9955,0.02080055385759102
BBOB_F1,116,1,0.0001,1.1603053427790964,4.377659320831299,0.998,0.02038998539388055
BBOB_F1,118,0,0.0001,1.0985720894706728,4.319736957550049,0.9955,0.020322081677465863
BBOB_F1,118,1,0.0001,1.1462520588519893,4.371478080749512,0.998,0.02048527800468252
BBOB_F1,120,0,0.0001,1.1188991495578549,4.286015510559082,0.9955,0.020462330902669
BBOB_F1,120,1,0.0001,1.189522631476739,4.312206268310547,0.998,0.020483613930776357
BBOB_F1,122,0,0.0001,1.1767843126976514,4.234879493713379,0.997,0.019727005122845722
BBOB_F1,122,1,0.0001,1.281523921724761,4.189679145812988,0.9985,0.019535321317659084
BBOB_F1,124,0,0.0001,1.1533265865723448,4.21767520904541,0.995,0.019951545881992466
BBOB_F1,124,1,0.0001,1.199605290912793,4.220320701599121,0.998,0.019886714641463712
BBOB_F1,126,0,0.0001,1.1595997766660875,4.179973602294922,0.995,0.019869899546827115
BBOB_F1,126,1,0.0001,1.2134399320689924,4.19246768951416,0.998,0.019813546625656233
BBOB_F1,128,0,0.0001,1.167086626085825,4.166859149932861,0.995,0.02024597372477346
BBOB_F1,128,1,0.0001,1.2498959491787671,4.175554275512695,0.9975,0.020344151787472148
BBOB_F1,130,0,0.0001,1.1902296610175793,4.133257865905762,0.995,0.020181607936379815
BBOB_F1,130,1,0.0001,1.3098107346661758,4.17578125,0.998,0.02002189125304527
BBOB_F1,132,0,0.0001,1.1977280213914043,4.085360527038574,0.995,0.019665563791715707
BBOB_F1,132,1,0.0001,1.2985847836868634,4.055361747741699,0.998,0.019236850270098017
BBOB_F1,134,0,0.0001,1.1975906957240918,4.056936740875244,0.995,0.019556468512416818
BBOB_F1,134,1,0.0001,1.2686315409297797,4.0631232261657715,0.998,0.01921669720748788
BBOB_F1,136,0,0.0001,1.2278152773932463,4.047355651855469,0.995,0.019820550850314655
BBOB_F1,136,1,0.0001,1.2253067168659428,4.087310791015625,0.998,0.019524159106463112
BBOB_F1,138,0,0.0001,1.2664577709970988,3.9766902923583984,0.995,0.01908852816091996
BBOB_F1,138,1,0.0001,1.2737022500812694,3.992201805114746,0.998,0.019029703366629912
BBOB_F1,140,0,0.0001,1.2169200556074042,3.9686365127563477,0.995,0.019500130521653506
BBOB_F1,140,1,0.0001,1.1836889875516903,4.031050205230713,0.9975,0.019830901411906694
BBOB_F1,142,0,0.0001,1.2841105355517903,3.9186909198760986,0.995,0.018948248048019506
BBOB_F1,142,1,0.0001,1.338629545792301,3.9325408935546875,0.998,0.018678534175815126
BBOB_F1,144,0,0.0001,1.33182683861017,3.8667550086975098,0.995,0.01872171696415702
