problema,geracao,fe,n_pop,n_front1,tempo_geracao_s
ZDT3,32,811,20,10,0.01967
ZDT3,33,827,20,10,0.019793
ZDT3,34,845,20,10,0.018967
ZDT3,35,863,20,9,0.019
ZDT3,36,878,20,9,0.020597
ZDT3,37,895,20,9,0.019339
ZDT3,38,914,20,8,0.018344
ZDT4,1,109,20,8,0.252334
ZDT4,2,129,20,6,0.134668
ZDT4,3,147,20,8,0.039975
ZDT4,4,164,20,11,0.025719
ZDT4,5,179,20,9,0.035397
ZDT4,6,195,20,10,0.034387
ZDT4,7,208,20,10,0.019466
ZDT4,8,221,20,10,0.019211
ZDT4,9,236,20,10,0.018609
ZDT4,10,247,20,10,0.020234
ZDT4,11,260,20,10,0.018854
ZDT4,12,276,20,8,0.025725
ZDT4,13,287,20,8,0.024133
ZDT4,14,301,20,8,0.022166
ZDT6,1,109,20,7,0.252921
ZDT6,2,128,20,11,0.142728
ZDT6,3,145,20,11,0.035774
ZDT6,4,161,20,10,0.044019
ZDT6,5,176,20,8,0.05671
ZDT6,6,192,20,9,0.060767
ZDT6,7,206,20,10,0.023699
ZDT6,8,220,20,8,0.027223
ZDT6,9,236,20,5,0.032532
ZDT6,10,248,20,7,0.025405
ZDT6,11,261,20,8,0.037995
ZDT6,12,278,20,8,0.030967
ZDT6,13,290,20,8,0.027452
ZDT6,14,304,20,7,0.034616
