label,problema,tier,dist,g,frac,n_pop,hv_sur,igdp_sur,hv_real,igdp_real,sig_med,rmse,wape
BBOB_F22,BBOB_F22,main,lhs,1144,1.0,39,2.1469060372849578,0.3542579178009947,0.13791153860902863,0.7383553102206984,4.33554744720459,250223.4185732741,5.026505251546663
BBOB_F37,BBOB_F37,main,lhs,1,0.0012285012285012285,50,0.1252558892997305,0.6986107688710314,0.058089504809852394,0.7648926650263459,15.241393089294434,979.5323388800723,0.19803285461438522
BBOB_F37,BBOB_F37,main,lhs,34,0.04176904176904177,48,2.2850129904832026,0.18050496173333236,0.5151271397957906,0.2997317901279784,7.003929138183594,567.1336174144516,0.8408357405874266
BBOB_F37,BBOB_F37,main,lhs,68,0.08353808353808354,45,2.338691809996594,0.17764292491660438,0.49722335697261133,0.29987867315306893,6.747981548309326,581.5362743204261,0.8874810503426093
BBOB_F37,BBOB_F37,main,lhs,102,0.12530712530712532,49,2.364780928029894,0.1762933052812102,0.5047264848652617,0.3071849089013515,6.683688640594482,585.7772992282066,0.8929329539071111
BBOB_F37,BBOB_F37,main,lhs,136,0.16707616707616707,50,2.3608050400166083,0.1762933052812102,0.5336070387211908,0.29636809601321207,6.658221244812012,579.8057780768255,0.889962030529074
BBOB_F37,BBOB_F37,main,lhs,170,0.20884520884520885,49,2.3908579098758516,0.17015915459894637,0.5540578409125066,0.2579639936760611,6.703333854675293,576.8701063001238,0.8826585406755683
BBOB_F37,BBOB_F37,main,lhs,204,0.25061425061425063,50,2.3939742756992186,0.1693728204487188,0.5252038511778018,0.286385633368758,6.69868278503418,579.828608933966,0.8860658356109111
BBOB_F37,BBOB_F37,main,lhs,238,0.29238329238329236,50,2.3933547628000666,0.1693728204487188,0.5383869825136751,0.2784406686785837,6.660926342010498,578.882338909855,0.8866686615592587
BBOB_F37,BBOB_F37,main,lhs,272,0.33415233415233414,50,2.3983079567351693,0.16749971149114845,0.5308542953956215,0.27753798019474607,6.64077615737915,575.801262963038,0.8850749204917702
BBOB_F37,BBOB_F37,main,lhs,305,0.3746928746928747,49,2.398174681061538,0.16763893015007397,0.5318369668997692,0.2797606084218059,6.6230998039245605,578.1881124133505,0.8867875713016423
BBOB_F37,BBOB_F37,main,lhs,339,0.41646191646191644,50,2.4006908077385494,0.1667037339021074,0.5558210000903988,0.26805025946732847,6.606706142425537,575.922721286158,0.8855028475857094
BBOB_F37,BBOB_F37,main,lhs,373,0.4582309582309582,49,2.396120588507793,0.1669228708624102,0.5557008637324807,0.267787730001202,6.614637851715088,573.4188563223497,0.8800011499426885
BBOB_F37,BBOB_F37,main,lhs,407,0.5,49,2.3908116654361358,0.16739257424416268,0.5427190497837402,0.27616889634924174,6.559443473815918,576.6464764165846,0.8857533364676663
BBOB_F37,BBOB_F37,main,lhs,441,0.5417690417690417,50,2.394951712589346,0.16739257424416268,0.5423110817538593,0.27632240194171803,6.5677170753479,576.5977665534011,0.8846824079599385
BBOB_F37,BBOB_F37,main,lhs,475,0.5835380835380836,50,2.3922582893308273,0.16739257424416268,0.5291031857803253,0.28302816860508256,6.548176288604736,574.1595615306173,0.8837032461899207
BBOB_F37,BBOB_F37,main,lhs,509,0.6253071253071253,50,2.3994060809349937,0.16462602105399524,0.5739260381719229,0.2558598412786898,6.531842231750488,570.5404485697027,0.8803697415286027
