alg,label,fe_final_man,n_ger_man,n_real,n_pop,n_sur,n_tim,n_decision,footer_fe_final,ger_max_sur,ger_min_sur,n_fin
e103,MMF11_L,61,99,61,50,59800,1,1,61,99,1,100
e103,MMF16_20,619,99,619,2104,59800,1,1,619,99,1,100
e103,MMF4,61,99,61,71,59800,1,1,61,99,1,100
e103,WFG1,681,99,681,8447,59800,1,1,681,99,1,100
e103,WFG2,681,99,681,9609,59800,1,1,681,99,1,100
e103,WFG4,681,99,681,5394,59800,1,1,681,99,1,100
e103,WFG5,681,99,681,2588,59800,1,1,681,99,1,100
e103,WFG9,681,99,681,1730,59800,1,1,681,99,1,100
e103,ZDT1,929,99,929,116,59800,1,1,929,99,1,100
e103,ZDT3,929,99,929,237,59800,1,1,929,99,1,100
e103,ZDT4,309,99,309,513,59800,1,1,309,99,1,100
e103,ZDT6,309,99,309,847,59800,1,1,309,99,1,100
e103,swap_medium-lhs_DTLZ2,2000,99,2000,3265,59800,1,1,2000,99,1,100
e103,swap_medium-lhs_MMF16_20,2000,99,2000,1377,59800,1,1,2000,99,1,100
e103,swap_medium-lhs_WFG9,2000,99,2000,1268,59800,1,1,2000,99,1,100
e103,swap_medium-lhs_ZDT1,2000,99,2000,124,59800,1,1,2000,99,1,100
e103,swap_medium-lhs_ZDT4,2000,99,2000,195,59800,1,1,2000,99,1,200
e103,swap_medium-mvns_DTLZ2,2000,99,2000,2019,59800,1,1,2000,99,1,100
e103,swap_medium-mvns_MMF16_20,2000,99,2000,1060,59800,1,1,2000,99,1,100
e103,swap_medium-mvns_WFG9,2000,99,2000,7632,59800,1,1,2000,99,1,100
e103,swap_medium-mvns_ZDT1,2000,99,2000,150,59800,1,1,2000,99,1,100
e103,swap_medium-mvns_ZDT4,2000,99,2000,299,59800,1,1,2000,99,1,100
e103,swap_small-lhs_DTLZ2,371,99,371,2141,59800,1,1,371,99,1,100
e103,swap_small-lhs_MMF16_20,619,99,619,2104,59800,1,1,619,99,1,100
e103,swap_small-lhs_WFG9,681,99,681,1730,59800,1,1,681,99,1,100
e103,swap_small-lhs_ZDT1,929,99,929,116,59800,1,1,929,99,1,100
e103,swap_small-lhs_ZDT4,309,99,309,513,59800,1,1,309,99,1,100
e103,swap_small-mvns_DTLZ2,371,99,371,903,59800,1,1,371,99,1,100
e103,swap_small-mvns_MMF16_20,619,99,619,2478,59800,1,1,619,99,1,100
e103,swap_small-mvns_WFG9,681,99,681,4985,59800,1,1,681,99,1,100
e103,swap_small-mvns_ZDT1,929,99,929,132,59800,1,1,929,99,1,100
e103,swap_small-mvns_ZDT4,309,99,309,151,59800,1,1,309,99,1,100
e7,BBOB_F1,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F17,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F22,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F37,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F49,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F5,309,67,309,13936,195400,67,0,309,67,1,
e7,BBOB_F55,309,67,309,13936,195400,67,0,309,67,1,
e7,DTLZ1,216,47,216,6815,137400,47,0,216,47,1,
e7,DTLZ2,371,81,371,20331,234000,81,0,371,80,1,
e7,DTLZ3,371,81,371,20331,234000,81,0,371,80,1,
e7,DTLZ4,371,81,371,20331,234000,81,0,371,80,1,
e7,DTLZ7,681,147,681,67620,427400,147,0,681,147,1,
e7,MMF1,61,14,61,567,40700,14,0,61,14,1,
e7,MMF11_L,61,14,61,567,40700,14,0,61,14,1,
e7,MMF16_20,619,134,619,56079,388700,134,0,619,134,1,
e7,MMF4,61,14,61,567,40700,14,0,61,14,1,
e7,WFG1,681,147,681,67620,427400,147,0,681,147,1,
e7,WFG2,681,147,681,67620,427400,147,0,681,147,1,
e7,WFG4,681,147,681,67620,427400,147,0,681,147,1,
e7,WFG5,681,147,681,67620,427400,147,0,681,147,1,
e7,WFG9,681,147,681,67620,427400,147,0,681,147,1,
e7,ZDT1,929,201,929,126429,582000,201,0,929,200,1,
e7,ZDT3,929,201,929,126429,582000,201,0,929,200,1,
e7,ZDT4,309,67,309,13936,195400,67,0,309,67,1,
e7,ZDT6,309,67,309,13936,195400,67,0,309,67,1,
e74,BBOB_F1,309,291,309,59765,171702,218,0,309,290,1,
e74,BBOB_F17,309,277,309,57076,164702,208,0,309,276,1,
e74,BBOB_F22,309,284,309,57971,169202,213,0,309,283,1,
e74,BBOB_F37,309,295,309,59666,174002,221,0,309,294,1,
e74,BBOB_F49,309,285,309,58726,169302,214,0,309,284,1,
e74,BBOB_F5,309,280,309,57430,164902,210,0,309,279,1,
e74,BBOB_F55,309,288,309,58828,171502,216,0,309,287,1,
e74,DTLZ1,216,184,216,27091,109472,138,0,216,183,1,
e74,DTLZ2,371,317,371,79921,187703,238,0,371,316,1,
e74,DTLZ3,371,321,371,80526,190003,241,0,371,320,1,
e74,DTLZ4,371,317,371,79921,187703,238,0,371,316,1,
e74,DTLZ7,681,651,681,290104,378703,488,0,681,650,1,
e74,MMF1,61,60,61,2527,37846,45,0,61,59,1,
e74,MMF11_L,61,64,61,2756,38017,48,0,61,63,1,
e74,MMF16_20,619,531,619,223216,309703,398,0,619,530,1,
e74,MMF4,61,52,61,2169,31579,39,0,61,51,1,
e74,WFG1,681,587,681,270867,343902,440,0,681,586,1,
e74,WFG2,681,615,681,278538,358002,461,0,681,614,1,
e74,WFG4,681,587,681,271403,343902,440,0,681,586,1,
e74,WFG5,681,585,681,270049,341802,439,0,681,584,1,
e74,WFG9,681,589,681,271066,344102,442,0,681,588,1,
e74,ZDT1,929,836,929,516537,486602,627,0,929,835,1,
e74,ZDT3,929,872,929,532014,507302,654,0,929,871,1,
e74,ZDT4,309,344,309,70534,203702,258,0,309,343,1,
e74,ZDT6,309,284,309,57979,169202,213,0,309,283,1,
e81,BBOB_F1,309,200,309,41900,209394,200,200,309,200,1,
e81,BBOB_F17,309,200,309,41900,204873,200,200,309,200,1,
e81,BBOB_F22,309,200,309,41900,206041,200,200,309,200,1,
e81,BBOB_F37,309,200,309,41900,205350,200,200,309,200,1,
e81,BBOB_F49,309,200,309,41900,204532,200,200,309,200,1,
e81,BBOB_F5,309,200,309,41900,208475,200,200,309,200,1,
e81,BBOB_F55,309,200,309,41900,203682,200,200,309,200,1,
e81,DTLZ1,216,140,216,20510,157692,140,140,216,140,1,
e81,DTLZ2,371,240,371,60360,315749,240,240,371,240,1,
e81,DTLZ3,371,240,371,60360,277059,240,240,371,240,1,
e81,DTLZ4,371,240,371,60360,257514,240,240,371,240,1,
e81,DTLZ7,681,440,681,203060,503945,440,440,681,440,1,
e81,MMF1,61,40,61,1660,42710,40,40,61,40,1,
e81,MMF11_L,61,40,61,1660,45831,40,40,61,40,1,
e81,MMF16_20,619,400,619,167800,490568,400,400,619,400,1,
e81,MMF4,61,40,61,1660,42731,40,40,61,40,1,
e81,WFG1,681,440,681,203060,458401,440,440,681,440,1,
e81,WFG2,681,440,681,203060,452714,440,440,681,440,1,
e81,WFG4,681,440,681,203060,457690,440,440,681,440,1,
e81,WFG5,681,440,681,203060,459009,440,440,681,440,1,
e81,WFG9,681,440,681,203060,450128,440,440,681,440,1,
e81,ZDT1,929,600,929,377700,621070,600,600,929,600,1,
e81,ZDT3,929,600,929,377700,616499,600,600,929,600,1,
e81,ZDT4,309,200,309,41900,204667,200,200,309,200,1,
e81,ZDT6,309,200,309,41900,205620,200,200,309,200,1,
e81,q10_DTLZ2,2131,200,2131,227200,277043,200,200,2131,200,1,
e81,q10_MMF16_20,2219,200,2219,244800,389970,200,200,2219,200,1,
e81,q10_WFG9,2241,200,2241,249200,205967,200,200,2241,200,1,
e81,q10_ZDT1,2329,200,2329,266800,208814,200,200,2329,200,1,
e81,q10_ZDT4,2109,200,2109,222800,204678,200,200,2109,200,1,
moead,BBOB_F1,309,12,309,240,0,12,0,309,,,
moead,BBOB_F17,309,14,309,280,0,14,0,309,,,
moead,BBOB_F22,309,14,309,280,0,14,0,309,,,
moead,BBOB_F37,309,13,309,260,0,13,0,309,,,
moead,BBOB_F49,309,14,309,280,0,14,0,309,,,
moead,BBOB_F5,309,14,309,280,0,14,0,309,,,
moead,BBOB_F55,309,13,309,260,0,13,0,309,,,
moead,DTLZ1,216,11,216,165,0,11,0,216,,,
moead,DTLZ2,371,17,371,255,0,17,0,371,,,
moead,DTLZ3,371,18,371,270,0,18,0,371,,,
moead,DTLZ4,371,18,371,270,0,18,0,371,,,
moead,DTLZ7,681,33,681,495,0,33,0,681,,,
moead,MMF1,61,3,61,60,0,3,0,61,,,
moead,MMF11_L,61,3,61,60,0,3,0,61,,,
moead,MMF16_20,619,29,619,435,0,29,0,619,,,
moead,MMF4,61,3,61,60,0,3,0,61,,,
moead,WFG1,681,31,681,620,0,31,0,681,,,
moead,WFG2,681,27,681,540,0,27,0,681,,,
moead,WFG4,681,27,681,540,0,27,0,681,,,
moead,WFG5,681,26,681,520,0,26,0,681,,,
moead,WFG9,681,25,681,500,0,25,0,681,,,
moead,ZDT1,929,38,929,760,0,38,0,929,,,
moead,ZDT3,929,38,929,760,0,38,0,929,,,
moead,ZDT4,309,14,309,280,0,14,0,309,,,
moead,ZDT6,309,14,309,280,0,14,0,309,,,
moead_media,BBOB_F1,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F17,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F22,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F37,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F49,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F5,309,801,309,0,60050,1,801,309,801,1,50
moead_media,BBOB_F55,309,801,309,0,60050,1,801,309,801,1,50
moead_media,DTLZ1,216,381,216,0,60005,1,381,216,381,1,105
moead_media,DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
moead_media,DTLZ3,371,381,371,0,60005,1,381,371,381,1,105
moead_media,DTLZ4,371,381,371,0,60005,1,381,371,381,1,105
moead_media,DTLZ7,681,381,681,0,60005,1,381,681,381,1,105
moead_media,MMF1,61,801,61,0,60050,1,801,61,801,1,50
moead_media,MMF11_L,61,801,61,0,60050,1,801,61,801,1,50
moead_media,MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
moead_media,MMF4,61,801,61,0,60050,1,801,61,801,1,50
moead_media,WFG1,681,801,681,0,60050,1,801,681,801,1,50
moead_media,WFG2,681,801,681,0,60050,1,801,681,801,1,50
moead_media,WFG4,681,801,681,0,60050,1,801,681,801,1,50
moead_media,WFG5,681,801,681,0,60050,1,801,681,801,1,50
moead_media,WFG9,681,801,681,0,60050,1,801,681,801,1,50
moead_media,ZDT1,929,801,929,0,60050,1,801,929,801,1,50
moead_media,ZDT3,929,801,929,0,60050,1,801,929,801,1,50
moead_media,ZDT4,309,801,309,0,60050,1,801,309,801,1,50
moead_media,ZDT6,309,801,309,0,60050,1,801,309,801,1,50
moead_media,swap_medium-lhs_DTLZ2,2000,381,2000,0,60005,1,381,2000,381,1,105
moead_media,swap_medium-lhs_MMF16_20,2000,381,2000,0,60005,1,381,2000,381,1,105
moead_media,swap_medium-lhs_WFG9,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_medium-lhs_ZDT1,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_medium-lhs_ZDT4,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_medium-mvns_DTLZ2,2000,381,2000,0,60005,1,381,2000,381,1,105
moead_media,swap_medium-mvns_MMF16_20,2000,381,2000,0,60005,1,381,2000,381,1,105
moead_media,swap_medium-mvns_WFG9,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_medium-mvns_ZDT1,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_medium-mvns_ZDT4,2000,801,2000,0,60050,1,801,2000,801,1,50
moead_media,swap_small-lhs_DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
moead_media,swap_small-lhs_MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
moead_media,swap_small-lhs_WFG9,681,801,681,0,60050,1,801,681,801,1,50
moead_media,swap_small-lhs_ZDT1,929,801,929,0,60050,1,801,929,801,1,50
moead_media,swap_small-lhs_ZDT4,309,801,309,0,60050,1,801,309,801,1,50
moead_media,swap_small-mvns_DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
moead_media,swap_small-mvns_MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
moead_media,swap_small-mvns_WFG9,681,801,681,0,60050,1,801,681,801,1,50
moead_media,swap_small-mvns_ZDT1,929,801,929,0,60050,1,801,929,801,1,50
moead_media,swap_small-mvns_ZDT4,309,801,309,0,60050,1,801,309,801,1,50
nsga2,BBOB_F1,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F17,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F22,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F37,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F49,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F5,309,11,309,220,0,11,0,309,,,
nsga2,BBOB_F55,309,11,309,220,0,11,0,309,,,
nsga2,DTLZ1,216,8,216,160,0,8,0,216,,,
nsga2,DTLZ2,371,13,371,260,0,13,0,371,,,
nsga2,DTLZ3,371,13,371,260,0,13,0,371,,,
nsga2,DTLZ4,371,13,371,260,0,13,0,371,,,
nsga2,DTLZ7,681,23,681,460,0,23,0,681,,,
nsga2,MMF1,61,3,61,60,0,3,0,61,,,
nsga2,MMF11_L,61,3,61,60,0,3,0,61,,,
nsga2,MMF16_20,619,21,619,420,0,21,0,619,,,
nsga2,MMF4,61,3,61,60,0,3,0,61,,,
nsga2,WFG1,681,23,681,460,0,23,0,681,,,
nsga2,WFG2,681,23,681,460,0,23,0,681,,,
nsga2,WFG4,681,23,681,460,0,23,0,681,,,
nsga2,WFG5,681,23,681,460,0,23,0,681,,,
nsga2,WFG9,681,23,681,460,0,23,0,681,,,
nsga2,ZDT1,929,31,929,620,0,31,0,929,,,
nsga2,ZDT3,929,31,929,620,0,31,0,929,,,
nsga2,ZDT4,309,11,309,220,0,11,0,309,,,
nsga2,ZDT6,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F1,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F17,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F22,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F37,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F49,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F5,309,11,309,220,0,11,0,309,,,
nsga3,BBOB_F55,309,11,309,220,0,11,0,309,,,
nsga3,DTLZ1,216,11,216,165,0,11,0,216,,,
nsga3,DTLZ2,371,18,371,270,0,18,0,371,,,
nsga3,DTLZ3,371,18,371,270,0,18,0,371,,,
nsga3,DTLZ4,371,18,371,270,0,18,0,371,,,
nsga3,DTLZ7,681,33,681,495,0,33,0,681,,,
nsga3,MMF1,61,3,61,60,0,3,0,61,,,
nsga3,MMF11_L,61,3,61,60,0,3,0,61,,,
nsga3,MMF16_20,619,30,619,450,0,30,0,619,,,
nsga3,MMF4,61,3,61,60,0,3,0,61,,,
nsga3,WFG1,681,23,681,460,0,23,0,681,,,
nsga3,WFG2,681,23,681,460,0,23,0,681,,,
nsga3,WFG4,681,23,681,460,0,23,0,681,,,
nsga3,WFG5,681,23,681,460,0,23,0,681,,,
nsga3,WFG9,681,23,681,460,0,23,0,681,,,
nsga3,ZDT1,929,31,929,620,0,31,0,929,,,
nsga3,ZDT3,929,31,929,620,0,31,0,929,,,
nsga3,ZDT4,309,11,309,220,0,11,0,309,,,
nsga3,ZDT6,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F1,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F17,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F22,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F37,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F49,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F5,309,11,309,220,0,11,0,309,,,
smsemoa,BBOB_F55,309,11,309,220,0,11,0,309,,,
smsemoa,DTLZ1,216,8,216,160,0,8,0,216,,,
smsemoa,DTLZ2,371,13,371,260,0,13,0,371,,,
smsemoa,DTLZ3,371,13,371,260,0,13,0,371,,,
smsemoa,DTLZ4,371,13,371,260,0,13,0,371,,,
smsemoa,DTLZ7,681,23,681,460,0,23,0,681,,,
smsemoa,MMF1,61,3,61,60,0,3,0,61,,,
smsemoa,MMF11_L,61,3,61,60,0,3,0,61,,,
smsemoa,MMF16_20,619,21,619,420,0,21,0,619,,,
smsemoa,MMF4,61,3,61,60,0,3,0,61,,,
smsemoa,WFG1,681,23,681,460,0,23,0,681,,,
smsemoa,WFG2,681,23,681,460,0,23,0,681,,,
smsemoa,WFG4,681,23,681,460,0,23,0,681,,,
smsemoa,WFG5,681,23,681,460,0,23,0,681,,,
smsemoa,WFG9,681,23,681,460,0,23,0,681,,,
smsemoa,ZDT1,929,31,929,620,0,31,0,929,,,
smsemoa,ZDT3,929,31,929,620,0,31,0,929,,,
smsemoa,ZDT4,309,11,309,220,0,11,0,309,,,
smsemoa,ZDT6,309,11,309,220,0,11,0,309,,,
sobol_batch,q10_DTLZ2,2131,200,2131,227331,0,200,200,2131,,,
sobol_batch,q10_MMF16_20,2219,200,2219,245019,0,200,200,2219,,,
sobol_batch,q10_WFG9,2241,200,2241,249441,0,200,200,2241,,,
sobol_batch,q10_ZDT1,2329,200,2329,267129,0,200,200,2329,,,
sobol_batch,q10_ZDT4,2109,200,2109,222909,0,200,200,2109,,,
treed_media,swap_big-lhs_DTLZ2,50000,1000,50000,0,124895,1,0,50000,1000,1,105
treed_media,swap_big-lhs_MMF16_20,50000,1000,50000,0,124818,1,0,50000,1000,1,105
treed_media,swap_big-lhs_WFG9,50000,1000,50000,0,65294,1,0,50000,1000,1,46
treed_media,swap_big-lhs_ZDT1,50000,1000,50000,0,69874,1,0,50000,1000,1,50
treed_media,swap_big-lhs_ZDT4,50000,1000,50000,0,57073,1,0,50000,1000,1,36
treed_media,swap_big-mvns_DTLZ2,50000,1000,50000,0,121957,1,0,50000,1000,1,102
treed_media,swap_big-mvns_MMF16_20,50000,1000,50000,0,121102,1,0,,1000,1,102
treed_media,swap_big-mvns_WFG9,50000,1000,50000,0,66596,1,0,50000,1000,1,47
treed_media,swap_big-mvns_ZDT1,50000,1000,50000,0,67737,1,0,50000,1000,1,48
treed_media,swap_big-mvns_ZDT4,50000,1000,50000,0,57281,1,0,50000,1000,1,37
