problema,bloco,obj,wape,cob,sigma_med,nan_sigma,it,noise,ls_med,ls_min,ls_max,outputscale,mll
BBOB_F1,74,0,0.0268030138725737,0.9945,5.528935194015503,0.0,74,0.000110751173557,2.072264287870242,2.0077046676173103,2.1307037739101227,0.7836082709246996,0.5025696388539285
BBOB_F1,74,1,0.0257533644209532,0.9975,5.504246711730957,0.0,74,0.0001107670826834,2.1000423557142263,2.020412275860508,2.156818014675531,0.8720687612668241,0.5025696388539285
BBOB_F1,76,0,0.0263582694226686,0.9945,5.4446001052856445,0.0,76,0.0001041254660032,2.094600786931041,2.0312287297423537,2.1560672657112576,0.7934052408594813,0.5223502663854904
BBOB_F1,76,1,0.0256361231375163,0.9975,5.44289755821228,0.0,76,0.0001058466668907,2.1182842534922397,2.048066066035676,2.189659808033187,0.8962525196449083,0.5223502663854904
BBOB_F1,78,0,0.0259436857822872,0.995,5.371035099029541,0.0,78,0.0001001007262642,2.1093969060784135,2.047563353475388,2.176475119443144,0.810524452898674,0.542238377535851
BBOB_F1,78,1,0.0253793841278411,0.9975,5.373826026916504,0.0,78,0.0001002399502508,2.137742648317226,2.0698474320502007,2.206561876005085,0.9006137210221962,0.542238377535851
BBOB_F1,80,0,0.0254386540521037,0.9945,5.298542737960815,0.0,80,0.0001,2.1359199810806677,2.0674826440692087,2.2040656019599436,0.8376345569610618,0.5606179161483076
BBOB_F1,80,1,0.0248478435830041,0.997,5.31810188293457,0.0,80,0.0001,2.152335624163664,2.083060797156634,2.217554120937385,0.903655678336274,0.5606179161483076
BBOB_F1,82,0,0.0251360213596673,0.9945,5.227270841598511,0.0,82,0.0001,2.1501987638528743,2.092054078311239,2.2200461891231957,0.8498539061101824,0.5779082542588793
BBOB_F1,82,1,0.0245271733578102,0.9965,5.21142053604126,0.0,82,0.0001,2.152675611799553,2.082504953775007,2.2070168104896375,0.8815416075286617,0.5779082542588793
BBOB_F1,84,0,0.0249950256774742,0.9945,5.132485389709473,0.0,84,0.0001,2.162691360598567,2.091132248491799,2.232096044480822,0.8348482004355593,0.5979018549062542
BBOB_F1,84,1,0.0237264353670962,0.998,5.151500940322876,0.0,84,0.0001,2.2033270052571208,2.148593323168251,2.2555803735212727,0.9564884722742713,0.5979018549062542
BBOB_F1,86,0,0.0245321871737983,0.9945,5.1094677448272705,0.0,86,0.0001,2.1835775737458776,2.126094952896711,2.252217270967771,0.8800277970431041,0.617103952826682
BBOB_F1,86,1,0.0233628815487634,0.998,5.084744930267334,0.0,86,0.0001,2.234719448334921,2.165549263982009,2.290387574311772,0.974815829696372,0.617103952826682
BBOB_F1,88,0,0.0243837384551392,0.9945,5.059433460235596,0.0,88,0.0001,2.1991246608147774,2.1358628391978782,2.267214384919773,0.8835038871143932,0.6361342331874229
BBOB_F1,88,1,0.0228372287113811,0.998,5.008190870285034,0.0,88,0.0001,2.2703733152747687,2.2112419476313265,2.3197297293844965,1.0181394949362597,0.6361342331874229
BBOB_F1,90,0,0.0241837290524442,0.9945,4.998107194900513,0.0,90,0.0001,2.2172062887535335,2.148875544698922,2.2822898632823803,0.8882815320811946,0.6533619392026659
BBOB_F1,90,1,0.0232037782784367,0.998,4.998874664306641,0.0,90,0.0001,2.2436064118151338,2.1803967541726164,2.297312935700954,0.9770314342846182,0.6533619392026659
BBOB_F1,92,0,0.023628416635435,0.995,4.92964243888855,0.0,92,0.0001,2.237153167604169,2.174598500395073,2.30155770397842,0.9120564302474096,0.6703067355412432
BBOB_F1,92,1,0.0228102115010945,0.998,4.937519550323486,0.0,92,0.0001,2.267735531002851,2.2062231279688795,2.3196186753841492,0.9950630097477232,0.6703067355412432
BBOB_F1,94,0,0.0234734725404132,0.995,4.889559984207153,0.0,94,0.0001,2.252219454373322,2.1879291404330954,2.315982863887262,0.9265772143123818,0.68845595713476
BBOB_F1,94,1,0.022734633114157,0.998,4.8960959911346436,0.0,94,0.0001,2.2791467446704914,2.216446381105917,2.3262581902226587,0.9898111021170262,0.68845595713476
BBOB_F1,96,0,0.0231267678387107,0.995,4.824066877365112,0.0,96,0.0001,2.2782332641366767,2.214569566795925,2.338281353699364,0.9473908911542466,0.7040009343143998
BBOB_F1,96,1,0.0224210716318188,0.998,4.821452617645264,0.0,96,0.0001,2.315637231798586,2.2453958709381014,2.360607071710603,1.029588337523998,0.7040009343143998
BBOB_F1,98,0,0.0226024009330595,0.9955,4.781500816345215,0.0,98,0.0001,2.2942757179984747,2.2312268556141435,2.363380448145174,0.9672167746373984,0.7209153234872936
BBOB_F1,98,1,0.0221618500874792,0.998,4.795536279678345,0.0,98,0.0001,2.3092894567218627,2.2715696591990113,2.3509486291015476,1.0217735002068735,0.7209153234872936
BBOB_F1,100,0,0.0219110104498913,0.9955,4.665356397628784,0.0,100,0.0001,2.3523436881283617,2.286695234694901,2.4200701181184474,1.0248981286662937,0.7369800356310924
BBOB_F1,100,1,0.0211967736717385,0.9985,4.727637529373169,0.0,100,0.0001,2.3310238078104475,2.304645581070804,2.3821594274383977,1.0389781056722105,0.7369800356310924
BBOB_F1,102,0,0.0218076670750164,0.9955,4.671433448791504,0.0,102,0.0001,2.3389114379855775,2.279548469160123,2.4108149518748285,1.018042518442566,0.7527051667019217
BBOB_F1,102,1,0.0216994616197628,0.998,4.730534553527832,0.0,102,0.0001,2.3364641939271453,2.2910131056882803,2.3773198122903025,1.036551228639302,0.7527051667019217
BBOB_F1,104,0,0.02149298131794,0.9955,4.602319002151489,0.0,104,0.0001,2.3703760895761863,2.309209107509036,2.436295827036189,1.045433804640468,0.7667786752740328
BBOB_F1,104,1,0.020958161017782,0.9985,4.687895774841309,0.0,104,0.0001,2.3548012606909756,2.290266643670778,2.3921847645327072,1.0487155171351663,0.7667786752740328
BBOB_F1,106,0,0.0209215654548814,0.9965,4.611279010772705,0.0,106,0.0001,2.3784305770555196,2.3146386991705374,2.44571903370432,1.0681257640134638,0.7822850831822832
BBOB_F1,106,1,0.0206819237972535,0.9985,4.585071563720703,0.0,106,0.0001,2.379545552186456,2.3433092010968317,2.415491948044387,1.065279438326555,0.7822850831822832
BBOB_F1,108,0,0.0213672847730927,0.9955,4.525799512863159,0.0,108,0.0001,2.380578889258945,2.3191582713463084,2.4427177840804015,1.0318246091223675,0.7998869894747317
BBOB_F1,108,1,0.0211728554363504,0.998,4.548850297927856,0.0,108,0.0001,2.391551423815572,2.349416849225921,2.4385338818842066,1.0884555146540036,0.7998869894747317
BBOB_F1,110,0,0.0208674374100294,0.996,4.475452661514282,0.0,110,0.0001,2.4181265783935944,2.349457369811923,2.482295102762631,1.068194887443846,0.8143567933570406
BBOB_F1,110,1,0.0207147590345286,0.998,4.497889757156372,0.0,110,0.0001,2.4155548153843185,2.37913928370699,2.4622399990425565,1.1177160246304956,0.8143567933570406
BBOB_F1,112,0,0.0207961047903106,0.9955,4.4332287311553955,0.0,112,0.0001,2.4234638668431705,2.368491988508715,2.4723461114963037,1.0613106036897813,0.8291080909783148
BBOB_F1,112,1,0.0204793320378237,0.998,4.435582637786865,0.0,112,0.0001,2.4432180548181983,2.4036326259258405,2.487676672373036,1.145461930538726,0.8291080909783148
BBOB_F1,114,0,0.0205549243947525,0.9955,4.411273956298828,0.0,114,0.0001,2.4156038926466104,2.3644779925941903,2.475369183827498,1.0528639110588789,0.8437305916438704
