label,tier,dist,problema,D,M,N,I_eff,I_max,I_frac,cobertura_frac,prof_max,max_folhas,teto_folhas,pop_max,pop_ultima,F2_nan_sonda_b0,F2_nan_build,F2_nan_final,U12_razao_fantasia,fit_total,busca_total,tempo_total_s
swap_medium-mvns_DTLZ2,medium,mvns,DTLZ2,12,3,2000,14,17,0.8235294117647058,0.8358333333333333,6.0,14.0,16,96,87,0.0528666666666666,0.2970932689580113,0.0012685812125457,0.9655172413793104,5.424824,24.34596,84.2303
swap_medium-mvns_MMF16_20,medium,mvns,MMF16_20,20,3,2000,10,10,1.0,1.0,5.0,8.0,10,105,100,0.0,0.2579356368266233,0.0,0.98,22.170817,21.269117,110.5388
swap_medium-mvns_WFG9,medium,mvns,WFG9,22,2,2000,8,10,0.8,0.23625,4.0,8.0,9,50,1,0.898625,0.0486739277582917,0.0189861578750467,1.0,0.427387,6.621232999999999,12.7552
swap_medium-mvns_ZDT1,medium,mvns,ZDT1,30,2,2000,7,7,1.0,1.0,3.0,5.0,6,50,50,0.0,0.1395153550863723,0.0,1.0,19.834667,3.807086,51.8817
swap_medium-mvns_ZDT4,medium,mvns,ZDT4,10,2,2000,10,20,0.5,0.41,6.0,15.0,20,50,27,0.477725,0.3195850771792448,0.035556664740188,0.1111111111111111,1.536951,6.30087,24.2074
swap_small-lhs_DTLZ2,small,lhs,DTLZ2,12,3,371,4,4,1.0,1.0,2.0,3.0,3,95,94,0.0,0.0832330711090544,0.0,0.9893617021276596,1.7787769999999998,6.2455739999999995,72.3359
swap_small-lhs_MMF16_20,small,lhs,MMF16_20,20,3,619,4,4,1.0,1.0,1.0,2.0,3,105,93,0.0,0.0747140760433109,0.0,0.989247311827957,17.942903,8.355165,89.1596
swap_small-lhs_WFG9,small,lhs,WFG9,22,2,681,4,4,1.0,0.3362701908957415,2.0,3.0,3,50,50,0.6411,0.0443169968717414,9.452242544543692e-05,0.04,0.166913,1.784482,24.353
swap_small-lhs_ZDT1,small,lhs,ZDT1,30,2,929,4,4,1.0,0.8385360602798708,2.0,3.0,3,50,50,0.161525,0.0559971098265896,0.0001109363023921,1.0,11.045327,2.723016,42.6282
swap_small-lhs_ZDT4,small,lhs,ZDT4,10,2,309,4,4,1.0,0.6666666666666666,2.0,3.0,3,50,50,0.33375,0.0768281101614434,0.0030872483221476,0.98,0.905896,2.368467,23.4878
swap_small-mvns_DTLZ2,small,mvns,DTLZ2,12,3,371,4,4,1.0,1.0,2.0,3.0,3,81,74,0.0,0.1353915258782515,0.0,0.8243243243243243,1.112839,5.7866990000000005,58.3005
swap_small-mvns_MMF16_20,small,mvns,MMF16_20,20,3,619,4,4,1.0,1.0,2.0,3.0,3,97,79,0.0,0.1094689634084191,0.0,0.8227848101265823,10.845092,5.878437,73.1889
swap_small-mvns_WFG9,small,mvns,WFG9,22,2,681,4,4,1.0,0.4977973568281938,2.0,3.0,3,50,50,0.696975,0.0700726312314295,0.0005073093966124,0.02,0.263467,2.927336,28.8849
swap_small-mvns_ZDT1,small,mvns,ZDT1,30,2,929,4,4,1.0,1.0,2.0,3.0,3,50,50,0.0,0.063128083318107,0.0,1.0,10.937321,3.0352,46.4165
swap_small-mvns_ZDT4,small,mvns,ZDT4,10,2,309,4,4,1.0,0.8042071197411004,1.0,2.0,3,50,50,0.091225,0.0303477690288713,1.0039555850049194e-05,0.1,1.392753,2.732906,30.3112
