label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,I_frac,mono_ok,passo_ok,gps_le_folhas,sat_ok,n_inc_pos,n_inc_banda,n_inc_fora,incs_fora,n_gps_final,n_folhas_final,tp_final,cobertura_frac,prof_max,max_folhas,teto_folhas,early_any,early_idx,early_na_ultima,corte_antes_Imax,delta_unicos,delta_ultimo,pop_teto,pop_max,pop_min,pop_med_build,pop_med_final,pop_ger1,pop_ger50,pop_ultima,colapso_pre50,excede_teto,fit_total,busca_total,tempo_total_s
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,56,417,0.1342925659472422,True,True,True,True,122,120,2,it21/obj2:+835;it52/obj1:+2295,"[44, 53, 28]","[330, 298, 296]","[7018.0, 11344.0, 5234.0]",0.15730666666666665,20.0,330.0,416,True,56,True,True,0.0;1.0;103.0;109.0;11.0,0.0,105,105,76,102.0,104.0,76,105,105,False,False,46.575573,121.69353200000003,235.2331
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,8,228,0.03508771929824561,True,True,True,True,8,8,0,,"[5, 5]","[172, 177]","[1572.0, 1701.0]",0.03273,18.0,177.0,227,True,8,True,True,0.0;1.0;15.0,0.0,50,50,1,30.0,50.0,36,44,50,False,False,2.8527470000000004,3.1322649999999994,30.5265
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,61,167,0.3652694610778443,True,True,True,True,71,71,0,,"[59, 14]","[121, 124]","[25260.0, 5749.0]",0.31009,16.0,124.0,166,True,61,True,True,0.0;1.0;10.0;12.0;13.0,0.0,50,50,19,45.0,49.0,38,47,49,False,False,130.50000799999995,51.144611,209.8793
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,30,500,0.06,True,True,True,True,33,33,0,,"[28, 7]","[352, 379]","[4397.0, 909.0]",0.05306,17.0,379.0,500,True,30,True,True,0.0;1.0;11.0;12.0;13.0,0.0,50,50,27,50.0,50.0,41,46,50,False,False,8.491897,19.325685000000007,50.0337
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,14,17,0.8235294117647058,True,True,True,True,30,30,0,,"[10, 12, 11]","[10, 12, 11]","[2000.0, 2000.0, 2000.0]",1.0,5.0,12.0,16,True,14,True,True,0.0;1.0;13.0;17.0;21.0,0.0,105,105,44,81.0,104.0,44,58,104,False,False,7.746591,24.225682,96.2412
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,10,10,1.0,True,True,True,True,17,17,0,,"[8, 7, 5]","[8, 7, 7]","[2000.0, 2000.0, 1540.0]",0.9233333333333333,4.0,8.0,10,True,10,True,False,0.0;1.0;13.0;4.0;8.0,0.0,105,105,49,89.0,105.0,49,60,105,False,False,45.934127999999994,21.318425,138.2026
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,6,10,0.6,True,True,True,True,2,2,0,,"[2, 2]","[7, 8]","[621.0, 506.0]",0.28175,5.0,8.0,9,True,6,True,True,0.0;1.0,0.0,50,50,2,19.0,39.0,18,19,36,False,False,0.442861,3.0918300000000003,23.0145
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,6,7,0.8571428571428571,True,True,True,True,3,3,0,,"[3, 2]","[4, 5]","[1501.0, 728.0]",0.55725,3.0,5.0,6,True,6,True,True,0.0;1.0,0.0,50,50,7,46.0,50.0,7,7,50,True,False,11.120448000000001,4.851395,42.0587
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,7,20,0.35,True,True,True,True,8,8,0,,"[5, 5]","[16, 15]","[628.0, 668.0]",0.324,9.0,16.0,20,True,7,True,True,0.0;1.0;4.0,0.0,50,50,9,40.0,50.0,32,40,50,False,False,1.588504,3.205745,21.2309
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,14,17,0.8235294117647058,True,True,True,True,29,29,0,,"[12, 10, 10]","[14, 13, 12]","[1694.0, 1612.0, 1709.0]",0.8358333333333333,6.0,14.0,16,True,14,True,True,0.0;1.0;11.0;15.0;22.0,0.0,105,96,46,82.0,86.0,46,74,87,False,False,5.424824,24.34596,84.2303
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,10,10,1.0,True,True,True,True,21,21,0,,"[8, 8, 8]","[8, 8, 8]","[2000.0, 2000.0, 2000.0]",1.0,5.0,8.0,10,True,10,True,False,0.0;1.0;13.0;19.0;3.0,0.0,105,105,35,97.0,100.0,35,49,100,False,False,22.170817,21.269116999999998,110.5388
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,8,10,0.8,True,True,True,True,1,1,0,,"[2, 1]","[8, 7]","[618.0, 327.0]",0.23625,4.0,8.0,9,True,8,True,True,0.0;1.0,0.0,50,50,1,47.0,1.0,12,14,1,False,False,0.427387,6.621232999999999,12.7552
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,7,7,1.0,True,True,True,True,8,8,0,,"[5, 5]","[5, 5]","[2000.0, 2000.0]",1.0,3.0,5.0,6,True,7,True,False,0.0;1.0;2.0,0.0,50,50,5,22.0,50.0,5,5,50,True,False,19.834667,3.807086,51.8817
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,10,20,0.5,True,True,True,True,9,8,1,it6/obj0:+328,"[7, 4]","[14, 15]","[1110.0, 530.0]",0.41,6.0,15.0,20,True,10,True,True,0.0;1.0;3.0,0.0,50,50,23,45.0,36.0,29,39,27,False,False,1.536951,6.30087,24.2074
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,4,4,1.0,True,True,True,True,4,4,0,,"[2, 3, 2]","[2, 3, 2]","[371.0, 371.0, 371.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,105,95,7,60.0,94.0,7,7,94,True,False,1.7787769999999998,6.2455739999999995,72.3359
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,4,4,1.0,True,True,True,True,3,3,0,,"[2, 2, 2]","[2, 2, 2]","[619.0, 619.0, 619.0]",1.0,1.0,2.0,3,False,,False,False,1.0,1.0,105,105,6,68.0,93.0,6,6,93,True,False,17.942903,8.355165,89.1596
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[3, 3]","[229.0, 229.0]",0.33627019089574156,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,21.0,50.0,3,3,50,True,False,0.166913,1.7844820000000001,24.353
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[2, 3]","[929.0, 629.0]",0.8385360602798708,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,32.0,50.0,3,3,50,True,False,11.045327,2.723016,42.6282
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,4,4,1.0,True,True,True,True,1,1,0,,"[2, 1]","[2, 3]","[309.0, 103.0]",0.6666666666666666,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,30.0,48.0,4,4,50,True,False,0.9058959999999999,2.368467,23.4878
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,4,4,1.0,True,True,True,True,4,4,0,,"[3, 2, 2]","[3, 2, 2]","[371.0, 371.0, 371.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,105,81,8,53.5,72.0,8,8,74,True,False,1.1128390000000001,5.7866990000000005,58.3005
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,4,4,1.0,True,True,True,True,4,4,0,,"[3, 2, 2]","[3, 2, 2]","[619.0, 619.0, 619.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,105,97,7,56.0,79.0,7,7,79,True,False,10.845092,5.878437,73.1889
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,220,4,4,1.0,True,True,True,True,1,1,0,,"[2, 1]","[3, 3]","[458.0, 220.0]",0.4977973568281938,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,6,41.0,50.0,6,6,50,True,False,0.263467,2.927336,28.8849
