label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas,n_gps,folhas_sem_gp,n_nan,nan_share,mu_dist_nan,mu_dist_gp,pred_dist,casa_nan,dmax_nan,dmed_nan,casa_gp,dmed_gp,escala,tolabs,mu_dist_le_folhas_sem_gp
ZDT3,off,small,lhs,ZDT3,30,2,929,300,1,2,2,0,0,0.0,0,19978,2,,,,0.0,0.37306812075420726,6.338726043701172,3.0425883323914604e-06,True
ZDT4,off,small,lhs,ZDT4,10,2,309,100,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.12501677450307253,0.9991977214813232,4.796148687091772e-07,True
ZDT4,off,small,lhs,ZDT4,10,2,309,100,1,3,1,2,13350,0.6675,2,6645,3,1.0,6.0738869080978475e-06,6.0738869080978475e-06,0.0,8.25275206334382,259.6029968261719,0.00012460943253245205,True
ZDT6,off,small,lhs,ZDT6,10,2,309,100,0,3,1,2,13519,0.67595,2,6471,3,1.0,2.0861625649182258e-08,2.077960092883302e-08,0.00015429717636167257,0.04222555190324784,1.0,4.799999828719592e-07,True
ZDT6,off,small,lhs,ZDT6,10,2,309,100,1,2,1,1,9051,0.45255,1,10911,2,1.0,4.1552952367851503e-07,4.1552952367851503e-07,0.0,0.264007469606117,9.229262351989746,4.430045919434633e-06,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,0,323,93,230,13835,0.69175,230,6163,323,1.0,6.155889531456182e-08,1.0714058029659412e-08,0.0,0.04391862355610904,2.6510653495788574,1.2725113265332766e-06,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,1,324,96,228,13942,0.6971,228,6057,324,1.0,6.128364882229675e-08,1.0607606348855825e-08,0.0,0.03980370652804757,2.6156952381134033,1.2555336752484436e-06,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,2,327,49,278,16929,0.84645,278,3071,327,1.0,1.1632519392179574e-07,2.561521927901822e-08,0.00032562683165092806,0.03451310070055835,2.8379507064819336,1.3622162668980309e-06,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,0,189,42,147,15426,0.7713,147,4574,189,1.0,1.173962203004919e-07,1.908523106219917e-08,0.00021862702229995628,0.04899602057342234,2.9952456951141357,1.4377178558788728e-06,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,1,184,39,145,15684,0.7842,145,4316,184,1.0,1.1145252054589605e-07,1.4041478868520585e-08,0.0,0.05620668968583786,2.996781826019287,1.4384552287083352e-06,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,2,188,26,162,17094,0.8547,162,2906,188,1.0,1.158226621278402e-07,3.4337458432176504e-08,0.0,0.044597793264235075,2.9999687671661377,1.4399849987967173e-06,True
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,0,169,1,168,19895,0.99475,168,105,169,1.0,1.248730794323194e-07,3.9409649987831585e-08,0.0,1.3997950716231897,2.9538931846618652,1.4178687024468672e-06,True
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,1,173,1,172,19900,0.995,172,100,173,1.0,2.4162600364974196e-07,6.036297373057664e-08,0.0,3.0840285845068904,4.939378261566162,2.370901484027854e-06,True
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,0,128,16,112,17497,0.87485,112,2503,128,1.0,3.0183426202867736e-08,9.322777771991753e-09,0.00039952057530962844,0.001959641456908884,0.9999977946281433,4.799989028470009e-07,True
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,1,124,3,121,19499,0.97495,121,501,124,1.0,2.491981421215428e-07,7.86781311212792e-08,0.0,0.2925940677189507,7.071417331695557,3.3942801564990077e-06,True
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,0,256,48,208,16247,0.81235,208,3753,256,1.0,2.995515480108679e-08,1.008693983894915e-08,0.0002664535038635758,0.0009781790849490157,0.9999876022338867,4.799940143129788e-07,True
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,1,393,3,390,19875,0.99375,390,125,393,1.0,8.138020831438553e-06,3.4636514953945152e-06,0.0,3.3584171901239444,286.77801513671875,0.00013765344920102507,True
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,0,330,44,286,12190,0.6095,283,7807,327,1.0,1.1024618506993988e-07,1.3922252684039904e-08,0.0,0.052453285904432906,3.033417224884033,1.456040195080277e-06,True
