label,exp,tier,dist,problema,M,it,ger,pop,f_best_log,f_best_rec,ok_fbest,nfront1_log,nfront1_rec,ok_nfront1,f_best_neg
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,46,2346,104,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,98,98,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,47,2397,102,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,97,97,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,48,2448,104,"[0.002513, 0.002149, -0.000817]","[0.002513, 0.002149, -0.000817]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,49,2499,104,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50,2550,104,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,51,2601,104,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,52,2652,102,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,100,100,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,53,2703,101,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,99,99,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,54,2754,101,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,100,100,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,55,2805,104,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,56,2856,102,"[0.002513, 0.002149, -0.000818]","[0.002513, 0.002149, -0.000818]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,57,2907,103,"[0.002513, 0.002149, -0.000821]","[0.002513, 0.002149, -0.000821]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,58,2958,103,"[0.002513, 0.002149, -0.000821]","[0.002513, 0.002149, -0.000821]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,59,3009,103,"[0.002513, 0.002149, -0.000821]","[0.002513, 0.002149, -0.000821]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,60,3060,102,"[0.002513, 0.002149, -0.000821]","[0.002513, 0.002149, -0.000821]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,61,3111,105,"[0.002513, 0.002149, -0.000822]","[0.002513, 0.002149, -0.000822]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,62,3162,104,"[0.002513, 0.002149, -0.000822]","[0.002513, 0.002149, -0.000822]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,63,3213,104,"[0.002513, 0.002149, -0.000822]","[0.002513, 0.002149, -0.000822]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,64,3264,104,"[0.002513, 0.002149, -0.000822]","[0.002513, 0.002149, -0.000822]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,65,3315,104,"[0.002513, 0.002149, -0.000822]","[0.002513, 0.002149, -0.000822]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,66,3366,104,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,67,3417,103,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,68,3468,103,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,69,3519,103,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,70,3570,105,"[0.002513, 0.002149, -0.000828]","[0.002513, 0.002149, -0.000828]",True,100,100,True,True
