alg,problema,ger,log,lo_f32,lo_corrigido,hi,explicado,divergia
moead,WFG2,24,5,5,5,5,True,False
moead,WFG2,25,5,5,5,5,True,False
moead,WFG2,26,5,5,5,5,True,False
moead,WFG2,27,5,5,5,5,True,False
moead,WFG4,1,20,20,20,20,True,False
moead,WFG4,2,14,14,14,14,True,False
moead,WFG4,3,17,17,17,17,True,False
moead,WFG4,4,15,15,15,15,True,False
moead,WFG4,5,16,16,16,16,True,False
moead,WFG4,6,16,16,16,16,True,False
moead,WFG4,7,16,16,16,16,True,False
moead,WFG4,8,16,16,16,16,True,False
moead,WFG4,9,16,16,16,16,True,False
moead,WFG4,10,17,17,17,17,True,False
moead,WFG4,11,15,15,15,15,True,False
moead,WFG4,12,14,14,14,14,True,False
moead,WFG4,13,14,14,14,14,True,False
moead,WFG4,14,14,14,14,14,True,False
moead,WFG4,15,14,14,14,14,True,False
moead,WFG4,16,14,14,14,14,True,False
moead,WFG4,17,12,12,12,12,True,False
moead,WFG4,18,12,12,12,12,True,False
moead,WFG4,19,12,12,12,12,True,False
moead,WFG4,20,12,12,12,12,True,False
moead,WFG4,21,12,12,12,12,True,False
moead,WFG4,22,11,11,11,11,True,False
moead,WFG4,23,11,11,11,11,True,False
moead,WFG4,24,11,11,11,11,True,False
moead,WFG4,25,11,11,11,11,True,False
moead,WFG4,26,10,10,10,10,True,False
moead,WFG4,27,10,10,10,10,True,False
moead,WFG5,1,20,20,20,20,True,False
moead,WFG5,2,15,15,15,15,True,False
moead,WFG5,3,14,14,14,14,True,False
moead,WFG5,4,16,16,16,16,True,False
moead,WFG5,5,14,14,14,14,True,False
moead,WFG5,6,14,14,14,14,True,False
moead,WFG5,7,14,14,14,14,True,False
moead,WFG5,8,14,14,14,14,True,False
moead,WFG5,9,14,14,14,14,True,False
moead,WFG5,10,14,14,14,14,True,False
moead,WFG5,11,15,15,15,15,True,False
moead,WFG5,12,15,15,15,15,True,False
moead,WFG5,13,18,18,18,18,True,False
moead,WFG5,14,17,17,17,17,True,False
moead,WFG5,15,17,17,17,17,True,False
moead,WFG5,16,17,17,17,17,True,False
moead,WFG5,17,17,17,17,17,True,False
moead,WFG5,18,16,16,16,16,True,False
moead,WFG5,19,18,18,18,18,True,False
moead,WFG5,20,17,17,17,17,True,False
moead,WFG5,21,15,15,15,15,True,False
moead,WFG5,22,15,15,15,15,True,False
moead,WFG5,23,16,16,16,16,True,False
moead,WFG5,24,14,14,14,14,True,False
moead,WFG5,25,16,16,16,16,True,False
moead,WFG5,26,15,15,15,15,True,False
moead,WFG9,1,15,15,15,15,True,False
moead,WFG9,2,9,9,9,9,True,False
moead,WFG9,3,10,10,10,10,True,False
moead,WFG9,4,9,9,9,9,True,False
moead,WFG9,5,9,9,9,9,True,False
moead,WFG9,6,10,10,10,10,True,False
moead,WFG9,7,12,12,12,12,True,False
moead,WFG9,8,12,12,12,12,True,False
moead,WFG9,9,11,11,11,11,True,False
moead,WFG9,10,10,10,10,10,True,False
moead,WFG9,11,10,10,10,10,True,False
moead,WFG9,12,9,9,9,9,True,False
moead,WFG9,13,11,11,11,11,True,False
moead,WFG9,14,10,10,10,10,True,False
moead,WFG9,15,10,10,10,10,True,False
moead,WFG9,16,10,10,10,10,True,False
moead,WFG9,17,12,12,12,12,True,False
moead,WFG9,18,11,11,11,11,True,False
moead,WFG9,19,11,11,11,11,True,False
moead,WFG9,20,9,9,9,9,True,False
moead,WFG9,21,11,11,11,11,True,False
moead,WFG9,22,11,11,11,11,True,False
moead,WFG9,23,10,10,10,10,True,False
moead,WFG9,24,9,9,9,9,True,False
moead,WFG9,25,9,9,9,9,True,False
moead,ZDT1,1,14,14,14,14,True,False
moead,ZDT1,2,10,10,10,10,True,False
moead,ZDT1,3,11,11,11,11,True,False
moead,ZDT1,4,10,10,10,10,True,False
moead,ZDT1,5,11,10,10,13,True,True
moead,ZDT1,6,11,10,10,14,True,True
moead,ZDT1,7,11,10,10,14,True,True
moead,ZDT1,8,11,10,10,14,True,True
moead,ZDT1,9,11,10,10,14,True,True
moead,ZDT1,10,11,10,10,14,True,True
moead,ZDT1,11,10,10,10,14,True,False
moead,ZDT1,12,8,8,8,12,True,False
moead,ZDT1,13,10,10,10,14,True,False
moead,ZDT1,14,10,10,10,13,True,False
moead,ZDT1,15,10,10,10,13,True,False
moead,ZDT1,16,9,9,9,13,True,False
moead,ZDT1,17,7,7,7,11,True,False
moead,ZDT1,18,7,7,7,11,True,False
moead,ZDT1,19,7,7,7,12,True,False
moead,ZDT1,20,7,7,7,12,True,False
moead,ZDT1,21,8,8,8,12,True,False
moead,ZDT1,22,8,8,8,12,True,False
moead,ZDT1,23,8,8,8,11,True,False
moead,ZDT1,24,8,8,8,11,True,False
moead,ZDT1,25,9,9,9,12,True,False
moead,ZDT1,26,8,8,8,12,True,False
moead,ZDT1,27,8,8,8,11,True,False
moead,ZDT1,28,8,8,8,11,True,False
moead,ZDT1,29,8,8,8,11,True,False
moead,ZDT1,30,8,8,8,11,True,False
moead,ZDT1,31,7,7,7,11,True,False
moead,ZDT1,32,7,7,7,11,True,False
moead,ZDT1,33,7,7,7,11,True,False
moead,ZDT1,34,7,8,7,11,True,True
moead,ZDT1,35,7,7,7,11,True,False
moead,ZDT1,36,7,7,7,11,True,False
moead,ZDT1,37,6,6,6,10,True,False
moead,ZDT1,38,6,6,6,10,True,False
moead,ZDT3,1,12,12,12,12,True,False
moead,ZDT3,2,8,8,8,8,True,False
moead,ZDT3,3,8,8,8,8,True,False
moead,ZDT3,4,9,9,9,9,True,False
moead,ZDT3,5,9,9,9,9,True,False
moead,ZDT3,6,7,7,7,7,True,False
moead,ZDT3,7,7,7,7,7,True,False
moead,ZDT3,8,6,6,6,7,True,False
moead,ZDT3,9,6,6,6,7,True,False
moead,ZDT3,10,10,10,10,11,True,False
moead,ZDT3,11,9,9,9,12,True,False
moead,ZDT3,12,9,9,9,12,True,False
moead,ZDT3,13,8,8,8,10,True,False
moead,ZDT3,14,10,10,10,13,True,False
moead,ZDT3,15,10,10,10,14,True,False
moead,ZDT3,16,10,10,10,14,True,False
moead,ZDT3,17,10,10,10,14,True,False
moead,ZDT3,18,10,10,10,14,True,False
moead,ZDT3,19,10,10,10,14,True,False
moead,ZDT3,20,10,10,10,14,True,False
moead,ZDT3,21,10,10,10,14,True,False
moead,ZDT3,22,10,10,10,14,True,False
moead,ZDT3,23,10,10,10,14,True,False
moead,ZDT3,24,10,10,10,14,True,False
moead,ZDT3,25,10,10,10,14,True,False
moead,ZDT3,26,10,10,10,14,True,False
moead,ZDT3,27,10,10,10,14,True,False
moead,ZDT3,28,10,10,10,14,True,False
moead,ZDT3,29,10,10,10,14,True,False
moead,ZDT3,30,10,10,10,14,True,False
moead,ZDT3,31,10,10,10,14,True,False
moead,ZDT3,32,10,10,10,14,True,False
moead,ZDT3,33,10,10,10,14,True,False
moead,ZDT3,34,10,11,10,14,True,True
moead,ZDT3,35,9,9,9,12,True,False
moead,ZDT3,36,9,9,9,12,True,False
moead,ZDT3,37,9,9,9,12,True,False
moead,ZDT3,38,8,8,8,12,True,False
moead,ZDT4,1,8,8,8,8,True,False
moead,ZDT4,2,6,6,6,6,True,False
moead,ZDT4,3,8,8,8,9,True,False
moead,ZDT4,4,11,11,11,12,True,False
moead,ZDT4,5,9,9,9,9,True,False
moead,ZDT4,6,10,10,10,10,True,False
moead,ZDT4,7,10,10,10,10,True,False
moead,ZDT4,8,10,10,10,10,True,False
moead,ZDT4,9,10,10,10,10,True,False
moead,ZDT4,10,10,10,10,10,True,False
moead,ZDT4,11,10,10,10,10,True,False
moead,ZDT4,12,8,8,8,8,True,False
moead,ZDT4,13,8,8,8,8,True,False
moead,ZDT4,14,8,8,8,8,True,False
moead,ZDT6,1,7,7,7,7,True,False
moead,ZDT6,2,11,11,11,11,True,False
moead,ZDT6,3,11,10,10,11,True,True
moead,ZDT6,4,10,10,10,11,True,False
moead,ZDT6,5,8,8,8,9,True,False
moead,ZDT6,6,9,9,9,9,True,False
moead,ZDT6,7,10,10,10,10,True,False
