config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
c149,main,MMF16_20,1,15413.3137,10981.373,4339.5029,0.0581,6.4737,0.9944265067413764,3.7694684693272672e-06
c149,main,MMF4,1,520.5138,122.9063,384.4227,0.0051,0.6404,0.9759097645441871,9.79801111901356e-06
c149,main,WFG1,1,17988.5854,13185.4102,4700.8699,0.1385,7.0719,0.9947135976573233,7.699326929842966e-06
c149,main,WFG2,1,18159.1409,13324.3034,4731.8455,0.223,6.9684,0.9947243869890345,1.2280316631058247e-05
c149,main,WFG4,1,18060.3013,13243.9609,4711.4292,0.1115,6.8823,0.9945783075058665,6.17376189620934e-06
c149,main,WFG5,1,18132.5306,13288.6993,4740.2402,0.1183,7.025,0.994680952034351,6.524185873978341e-06
c149,main,WFG9,1,18166.6437,13278.2525,4784.0603,1.1137,7.0428,0.9947059896374805,6.13046646585577e-05
c149,main,ZDT1,1,31578.9325,24717.195,6721.4123,0.0631,9.3246,0.9958536438810907,1.998167607470582e-06
c149,main,ZDT3,1,31627.9415,24770.6134,6718.6812,0.069,9.215,0.9959098539498689,2.1816152657295133e-06
c149,main,ZDT4,1,4799.9607,2814.9773,1937.8106,0.0208,3.1106,0.9908246332100179,4.333368812790488e-06
c149,main,ZDT6,1,4814.5407,2820.4845,1946.6816,0.0248,3.1332,0.9908160294501199,5.151062488681424e-06
c149,batch,DTLZ2,10,15112.3629,13094.218,1973.7455,0.0915,2.9731,0.9972648354017492,6.05464549822318e-06
c149,batch,MMF16_20,10,16727.4201,14581.5373,2101.0729,0.1112,3.0924,0.9975126887618492,6.647767517956938e-06
c149,batch,WFG9,10,16737.5303,14622.0915,2067.6136,3.4238,3.0403,0.997528840918663,0.0002045582555271013
c149,batch,ZDT1,10,17894.1298,15601.6305,2246.6484,0.0681,3.051,0.9976119654614329,3.805717336419455e-06
c149,batch,ZDT4,10,15164.567,13143.9838,1973.2516,0.0714,3.0463,0.9970843941670079,4.708344128783895e-06
c154,main,BBOB_F1,1,30388.2875,561.7777,29767.774,0.0263,12.5158,0.998479884725324,8.654650249705582e-07
c154,main,BBOB_F17,1,23622.5339,756.9186,22804.7672,0.0737,12.5112,0.9979568999581371,3.1199023911655813e-06
c154,main,BBOB_F22,1,24770.756,597.3217,24113.1509,0.0549,12.6194,0.998078011829756,2.2163231513806038e-06
c154,main,BBOB_F37,1,24221.0922,644.9037,23515.1687,0.0633,12.5052,0.9979996236503323,2.613424674548739e-06
c154,main,BBOB_F49,1,21296.5788,622.4935,20613.8601,0.4983,12.2933,0.9977727126762729,2.339812439733278e-05
c154,main,BBOB_F5,1,28485.2692,622.2531,27803.6701,0.0387,12.8575,0.9983693396164218,1.3585969550886323e-06
c154,main,DTLZ1,1,7532.1374,171.7249,7314.6657,0.0223,10.8628,0.9953716059401677,2.960647000411862e-06
c154,main,MMF1,1,171.6135,19.4684,141.976,0.007,1.5504,0.9498192158542307,4.07893318416092e-05
c154,main,MMF11_L,1,214.404,18.9207,184.6411,0.0074,1.5704,0.9567899852614691,3.451428144997295e-05
c154,main,MMF4,1,173.587,22.5224,140.7597,0.0081,1.5428,0.9495699562755278,4.6662480485289795e-05
c154,main,ZDT4,1,23571.7552,317.0994,23193.9903,0.0277,12.4628,0.9979562404415264,1.1751352313382247e-06
c217,main,BBOB_F1,1,47.809225,15.427200004458427,8.153269943781197,0.13667300000000007,10.870491999999997,0.7234510692913266,0.0028587160741467797
c217,main,BBOB_F17,1,48.903458,17.014724023640156,5.8230979377403855,0.20546099999999992,12.088667000000003,0.7183939827195971,0.004201359339456116
c217,main,BBOB_F22,1,67.245228,11.784583956003189,33.14918220974505,0.16080499999999998,8.473775999999999,0.7966118750574873,0.0023913221024397446
c217,main,BBOB_F37,1,52.14421,15.697926998138428,11.68267990462482,0.1890309999999999,11.213726999999999,0.7437712624807864,0.0036251579993253303
c217,main,BBOB_F49,1,47.97753,16.107808984816074,5.773469941690564,0.6805710000000001,11.502922000000002,0.7100151242989508,0.014185202948130096
c217,main,BBOB_F5,1,58.836015,13.579288005828857,23.64333891030401,0.140459,9.565296000000002,0.7976131951855147,0.0023872962844271486
c217,main,BBOB_F55,1,56.672394,15.135087974369526,16.002224838361144,1.1800929999999996,10.727819999999994,0.7595448643431344,0.020823065988706948
c217,main,DTLZ1,1,31.748724,11.881843030452728,2.1879099970683455,0.10820599999999997,7.043014,0.6684039657001987,0.0034081999641938357
c217,main,DTLZ2,1,61.191908,22.711831986904144,4.103582996875048,0.20552900000000007,16.161246000000002,0.7056846467964227,0.0033587610963201225
c217,main,DTLZ3,1,53.335518,18.938820995390415,3.5775049971416593,0.1800110000000001,13.796731000000005,0.6842169976212114,0.0033750679987771016
c217,main,DTLZ4,1,53.494952,19.193330965936184,3.5978609966114163,0.18717999999999999,13.747389999999998,0.6865276178310732,0.0034990217394717917
c217,main,DTLZ7,1,121.628573,33.27805604040623,12.517577873542905,0.3100460000000002,33.640846,0.6556561829756001,0.0025491214140940404
c217,main,MMF1,1,13.324698,4.495874024927616,0.7630549976602197,0.030841999999999998,1.7782399999999996,0.5304443689896637,0.002314649082478267
c217,main,MMF11_L,1,15.722198,5.273575007915497,0.8651520004495978,0.038664,2.0655710000000003,0.5242881439583126,0.0024591981350190347
c217,main,MMF16_20,1,124.133311,30.407891020178795,6.347417994402349,0.3021059999999999,30.29300000000001,0.5425652024586789,0.0024337222423721533
c217,main,MMF4,1,18.210682,4.092969015240669,6.023481944575906,0.032854,1.692336,0.6502579617730174,0.001804105963741501
c217,main,WFG1,1,118.012457,33.643460072577,7.287003988400102,0.4477500000000002,35.650035,0.6527128662440873,0.003794090991597609
c217,main,WFG2,1,118.767647,33.521357998251915,7.268010006286204,0.5255810000000001,35.93457199999999,0.6504256247876841,0.004425287637465783
c217,main,WFG4,1,121.777272,35.39535906910896,7.641794017516077,0.4076369999999995,36.33315800000001,0.6551136084459591,0.003347398026784502
c217,main,WFG5,1,122.97687,36.04436299204826,7.684196012094617,0.4033559999999999,36.56807699999999,0.6562208975081483,0.0032799338607333224
c217,main,WFG9,1,121.562745,34.80094400793314,7.544962998479605,1.4714269999999992,36.12354600000001,0.6576100268747037,0.012104259409410335
c217,main,ZDT1,1,189.218639,43.75503399968147,18.441720897331834,0.3925840000000001,51.03441999999997,0.600489251468579,0.0020747638925782577
