fonte,geracao,D,M,n_amostra,n_front,nd_weak,nd_std,nd_strict,front_exato,front_bracket,eim_best,eim_rec_max,abs_max,rel_max,eim_rec_infill,rel_infill,argmax_eh_infill,gap_argmax,eim_med_rec,eim_med_log,rel_med,pool_n,pool_med_sobre_max,pool_min_sobre_max,sigma0_muda_argmax,n2_ok,frac_exploracao,min_dist_log,min_dist_rec,pool_coincide_antigo,eim_zero,s_best_min,lam_abs_max,u11_err,u11_otimista,u11_cob,u11_err_modelo,norm_min_ok,norm_max_ok,range_ok
T11_smoke,14,2,2,34,8,8,8,8,True,True,82.3743351344433,82.37433624301674,1.1085734428206706e-06,1.3457752842695069e-08,82.37433624301674,1.3457752842695069e-08,True,0.0,82.37433624301674,82.3743351344433,1.3457752842695069e-08,20,1.0,1.0,False,True,3.2591407080975067e-15,0.2303106085776608,0.23031060833084954,0,0,1.477982759475708,12.324797442676466,612.3265786420611,1,0,82.42135566943281,1.386580860798942e-08,2.115828131046795e-08,0.0
T11_smoke,15,2,2,35,8,8,8,8,True,True,116.8011052392495,116.8011042798465,9.594029961590422e-07,8.213989021712162e-09,116.8011042798465,8.213989021712162e-09,True,0.0,116.8011042798465,116.8011052392495,8.213989021712162e-09,20,1.0,1.0,False,True,0.01003496861468239,0.2755330598730946,0.27553307814419936,0,0,7.612326622009277,2.869465102118507,874.1744958614133,1,0,117.66702533201367,1.386580860798942e-08,2.115828131046795e-08,0.0
T11_smoke,16,2,2,36,8,8,8,8,True,True,0.5460248273983408,0.5460248244180478,2.9802930123778992e-09,5.458163920087996e-09,0.5460248244180478,5.458163920087996e-09,True,0.0,0.5460248244180478,0.5460248273983408,5.458163920087996e-09,20,1.0,1.0,False,True,0.0038064530677957174,0.34107448668746576,0.34107452904962565,0,0,0.05149092525243759,19.566460690823313,3.983447322982239,1,1,0.530682601220389,1.386580860798942e-08,2.37980890402459e-08,0.0
T11_smoke,17,2,2,37,9,9,9,9,True,True,0.10201919416027795,0.10201919164437459,2.515903360644778e-09,2.4661078548534215e-08,0.10201919164437459,2.4661078548534215e-08,True,0.0,0.10201919164437459,0.10201919416027795,2.4661078548534215e-08,20,1.0,1.0,False,True,1.2343258996681896,0.0653308773154742,0.065330910885744,0,0,0.22011996805667877,2.5226864943425444,0.3531807612021407,0,2,0.04635009013634192,9.069986794119393e-09,2.37980890402459e-08,0.0
T11_smoke,18,2,2,38,10,10,10,10,True,True,19.751197183720038,19.75119671943464,4.6428539945964076e-07,2.3506696588616353e-08,19.75119671943464,2.3506696588616353e-08,True,0.0,19.75119671943464,19.751197183720038,2.3506696588616353e-08,20,1.0,1.0,False,True,0.023924705718039525,0.12430534295845362,0.12430541464019094,0,0,0.020844081416726112,24.38917116256495,153.56655094512368,2,0,20.153485863743825,9.069986794119393e-09,2.37980890402459e-08,0.0
T11_smoke,19,2,2,39,10,10,10,10,True,True,52.07269762829565,52.072696579210934,1.0490847159871919e-06,2.0146540582086773e-08,52.072696219221314,2.7059753008781577e-08,False,6.913212565972124e-09,52.072696579210934,52.072697449286395,1.6708860942257764e-08,20,1.0,0.9999999930867874,False,True,0.00024233111138105077,0.3102657506469403,0.31026574552741265,0,0,2.4584853649139404,4.801428289506152,396.8484675906142,1,0,52.080872640643264,9.069986794119393e-09,2.37980890402459e-08,0.0
T11_smoke,20,2,2,40,10,10,10,10,True,True,14.89116530817218,14.891165585735477,2.775632967910724e-07,1.863946111985926e-08,14.891165585735477,1.863946111985926e-08,True,0.0,14.891165585735477,14.89116530817218,1.863946111985926e-08,20,1.0,1.0,False,True,0.0005595886063509592,0.3204683285500118,0.3204682812426519,0,0,0.8014817833900452,9.399659825641635,113.43528155046722,1,0,14.886811803138531,9.069986794119393e-09,2.37980890402459e-08,0.0
T11_smoke,21,2,2,41,11,11,11,11,True,True,11.136564384275216,11.1365643758923,8.382915694937765e-09,7.527380443087464e-10,11.1365643758923,7.527380443087464e-10,True,0.0,11.1365643758923,11.136564384275216,7.527380443087464e-10,20,1.0,1.0,False,True,0.0003547136451747783,0.24241225231036387,0.2424122429356279,0,0,0.5710662603378296,5.095544959486094,85.99886362013848,1,0,11.24419656515576,3.784164675083484e-08,2.37980890402459e-08,0.0
T11_smoke,22,2,2,42,11,11,11,11,True,True,4.478285546684529,4.478285491309726,5.537480340933598e-08,1.2365179225860747e-08,4.478285491309726,1.2365179225860747e-08,True,0.0,4.478285491309726,4.478285546684529,1.2365179225860747e-08,20,1.0,1.0,False,True,0.7346699490590674,0.27119992322143405,0.2711998924188253,0,0,1.4242792129516602,0.7550806347728111,6.433332109240384,1,2,3.040419459644642,3.784164675083484e-08,2.37980890402459e-08,0.0
T11_smoke,23,2,2,43,11,11,11,11,True,True,30.221715255091976,30.22171592763673,6.725447541100493e-07,2.225369236766712e-08,30.22171592763673,2.225369236766712e-08,True,0.0,30.22171592763673,30.221715255091976,2.225369236766712e-08,20,1.0,1.0,False,True,8.413353324840209e-05,0.18699401437862997,0.18699407136455964,0,0,0.7845919132232666,7.8616827620702185,232.39328224131765,1,0,30.385003195916525,3.784164675083484e-08,2.37980890402459e-08,0.0
T11_smoke,24,2,2,44,11,11,11,11,True,True,8.576934334135112,8.576934288244475,4.589063706816887e-08,5.350470841956892e-09,8.576934288244475,5.350470841956892e-09,True,0.0,8.576934288244475,8.576934334135112,5.350470841956892e-09,20,1.0,1.0,False,True,0.21628302648306308,0.1532915516157248,0.15329152446779706,0,0,1.1158854961395264,1.6454387196200653,60.57403587364037,2,2,7.919946118317233,3.784164675083484e-08,2.37980890402459e-08,0.0
T11_smoke,25,2,2,45,11,11,11,11,True,True,5.939077516183351,5.9390775973762455,8.119289418573317e-08,1.3670960509353718e-08,5.9390775973762455,1.3670960509353718e-08,True,0.0,5.9390775973762455,5.939077516183351,1.3670960509353718e-08,20,1.0,1.0,False,True,0.012445597344557793,0.26036115061863696,0.2603611759883054,0,0,0.3540569245815277,4.1691509867396865,51.361389245392225,1,0,6.715409160353476,3.784164675083484e-08,2.37980890402459e-08,0.0
T11_smoke,26,2,2,46,11,11,11,11,True,True,17.605826332327098,17.605825875895984,4.564311133492538e-07,2.5925003730791873e-08,17.605825875895984,2.5925003730791873e-08,True,0.0,17.605825875895984,17.605826332327098,2.5925003730791873e-08,20,1.0,1.0,False,True,0.0010756802462912884,0.32042254948415905,0.32042238860849437,0,0,0.6298300623893738,4.223037578099269,142.925769655957,1,0,18.687287024353445,3.784164675083484e-08,2.37980890402459e-08,0.0
