label,exp,problema,D,M,n_dataset,tier,dist,modelo,obj,wape,corr,cobertura95,n_sigma_validas,n,dX_gabarito,sigma_med,sigma_max,mu_min,mu_max,f_min,f_max
WFG1,off,WFG1,22,2,681,small,lhs,RBFN,0,0.010372789360101395,0.4462524610123329,,0,20000,0.0,,,2.842987060546875,3.028549909591675,2.5654674923617873,2.9904039293076257
WFG1,off,WFG1,22,2,681,small,lhs,RBFN,1,0.01632510502864081,0.2708218667869604,,0,20000,0.0,,,0.9538158774375916,1.0410881042480469,0.9579702788089035,1.610474394322324
WFG2,off,WFG2,22,2,681,small,lhs,Kriging-DACE,0,0.06871780210664477,0.9712373839729703,0.93555,20000,20000,0.0,0.10071052983403206,0.10219037532806396,0.13586542010307312,2.2918128967285156,0.39790968432287843,2.6714416560473806
WFG2,off,WFG2,22,2,681,small,lhs,Kriging-DACE,1,0.18070016680101783,0.43533683540760143,0.952,20000,20000,0.0,0.737898975610733,0.7487416863441467,2.3843390941619873,4.672919273376465,0.5863766954455871,4.749698586255175
WFG2,off,WFG2,22,2,681,small,lhs,RBFN,0,0.29262335996409794,0.23884003666178436,,0,20000,0.0,,,0.5544692873954773,1.9510502815246582,0.39790968432287843,2.6714416560473806
WFG2,off,WFG2,22,2,681,small,lhs,RBFN,1,0.20367444142857516,0.07441860189774241,,0,20000,0.0,,,2.8460443019866943,4.486734867095947,0.5863766954455871,4.749698586255175
WFG4,off,WFG4,22,2,681,small,lhs,Kriging-DACE,0,0.26218883922716707,0.2538255731079699,0.9661,20000,20000,0.0,0.43599337339401245,0.44215747714042664,0.9000956416130066,1.8632296323776245,0.2797782932558552,2.474740808848505
WFG4,off,WFG4,22,2,681,small,lhs,Kriging-DACE,1,0.1401628021326444,0.2379107900240673,0.94725,20000,20000,0.0,0.6483422815799713,0.6575085520744324,2.929734230041504,4.304450988769531,0.5166612172982763,4.553796453633119
WFG4,off,WFG4,22,2,681,small,lhs,RBFN,0,0.2725554342691837,0.1280033335800607,,0,20000,0.0,,,1.0493041276931763,2.0774478912353516,0.2797782932558552,2.474740808848505
WFG4,off,WFG4,22,2,681,small,lhs,RBFN,1,0.1448375376048614,0.09942112431378627,,0,20000,0.0,,,3.037156581878662,4.3354692459106445,0.5166612172982763,4.553796453633119
