problema,D,M,geracao,count,regime,desal,N,aceito,slot,n_cand,flag_copia,frac_n1,fbest_rel_max
BBOB_F37,10,2,166,37,produtivo,6,,1,0,1,False,0.91,
BBOB_F37,10,2,170,51,produtivo,20,,1,0,1,False,0.78,
BBOB_F37,10,2,174,51,produtivo,25,,1,0,1,False,0.71,
BBOB_F37,10,2,178,51,produtivo,20,,1,0,1,False,0.74,
BBOB_F37,10,2,182,51,produtivo,19,,1,0,1,False,0.76,
BBOB_F37,10,2,186,51,produtivo,19,,1,0,1,False,0.77,
BBOB_F37,10,2,190,50,produtivo,10,,1,0,1,False,0.9,
BBOB_F37,10,2,194,34,produtivo,9,,1,0,1,False,0.91,
BBOB_F37,10,2,198,51,produtivo,15,,1,0,1,False,0.8,
BBOB_F37,10,2,202,51,produtivo,22,,1,0,1,False,0.72,
BBOB_F37,10,2,206,9,produtivo,7,,1,0,1,False,0.93,
BBOB_F37,10,2,210,51,produtivo,26,,1,0,1,False,0.67,
BBOB_F37,10,2,214,51,produtivo,17,,1,0,1,False,0.75,
BBOB_F37,10,2,218,39,produtivo,10,,1,0,1,False,0.9,
BBOB_F37,10,2,222,51,produtivo,20,,1,0,1,False,0.78,
BBOB_F37,10,2,226,51,produtivo,23,,1,0,1,False,0.67,
BBOB_F37,10,2,230,51,produtivo,16,,1,0,1,False,0.82,
BBOB_F37,10,2,234,51,produtivo,16,,1,0,1,False,0.83,
BBOB_F37,10,2,238,51,produtivo,18,,1,0,1,False,0.78,
BBOB_F37,10,2,242,51,produtivo,17,,1,0,1,False,0.79,
BBOB_F37,10,2,246,51,produtivo,22,,1,0,1,False,0.7,
BBOB_F37,10,2,250,2,produtivo,0,,1,0,1,False,0.96,
BBOB_F37,10,2,254,3,produtivo,6,,1,0,1,False,0.94,
BBOB_F37,10,2,258,45,produtivo,7,,1,0,1,False,0.92,
BBOB_F37,10,2,262,20,produtivo,8,,1,0,1,False,0.91,
BBOB_F37,10,2,266,36,produtivo,8,,1,0,1,False,0.91,
BBOB_F37,10,2,270,3,produtivo,9,,1,0,1,False,0.9,
BBOB_F37,10,2,274,51,produtivo,16,,1,0,1,False,0.79,
BBOB_F37,10,2,278,19,produtivo,7,,1,0,1,False,0.93,
BBOB_F37,10,2,282,51,produtivo,28,,1,0,1,False,0.68,
BBOB_F37,10,2,286,51,produtivo,21,,1,0,1,False,0.74,
BBOB_F37,10,2,290,51,produtivo,26,,1,0,1,False,0.68,
