alg,label,M,pop,n_ger,onset,congeladas_trans,n_mortos,mortos,J_star,n_face,face_bate,amp_zero_em_alguma_ger,amp_min_global
moead_media,ZDT3,2,50,801,801,0,0,[],None,0,,0,0.2005481719970703
moead_media,ZDT4,2,50,801,801,0,0,[],None,0,,0,0.20582552370615304
moead_media,ZDT6,2,50,801,118,683,1,[49],[0],1,True,0,1.3083510398864746
moead_media,swap_medium-lhs_DTLZ2,3,105,381,35,346,0,[],None,0,,355,0.0
moead_media,swap_medium-lhs_MMF16_20,3,105,381,1,380,105,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",None,0,,381,0.0
moead_media,swap_medium-lhs_WFG9,2,50,801,801,0,0,[],None,0,,0,1.5602422952651978
moead_media,swap_medium-lhs_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.25470244884490967
moead_media,swap_medium-lhs_ZDT4,2,50,801,312,489,1,[0],[1],1,True,0,0.6225000396370888
moead_media,swap_medium-mvns_DTLZ2,3,105,381,83,298,0,[],None,0,,338,0.0
moead_media,swap_medium-mvns_MMF16_20,3,105,381,381,0,0,[],None,0,,0,1.488594828254318e-36
moead_media,swap_medium-mvns_WFG9,2,50,801,257,544,0,[],None,0,,621,0.0
moead_media,swap_medium-mvns_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.5572620034217834
moead_media,swap_medium-mvns_ZDT4,2,50,801,502,299,1,[0],[1],1,True,0,0.6188737803604454
moead_media,swap_small-lhs_DTLZ2,3,105,381,278,103,1,[104],[0],1,True,0,7.858349387879215e-12
moead_media,swap_small-lhs_MMF16_20,3,105,381,381,0,0,[],None,0,,0,5.6961681470274925
moead_media,swap_small-lhs_WFG9,2,50,801,801,0,0,[],None,0,,0,1.1552183628082275
moead_media,swap_small-lhs_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.2124539017677307
moead_media,swap_small-lhs_ZDT4,2,50,801,801,0,0,[],None,0,,0,0.20582552370615304
moead_media,swap_small-mvns_DTLZ2,3,105,381,210,171,14,"[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]","[0, 2]",14,True,0,1.9096115231513977
moead_media,swap_small-mvns_MMF16_20,3,105,381,381,0,0,[],None,0,,0,2.2199151068925858
moead_media,swap_small-mvns_WFG9,2,50,801,801,0,0,[],None,0,,0,0.004092469811439514
moead_media,swap_small-mvns_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.477655827999115
