config,celula,n_esp,n_can,sideN,igual
b5r,swap_medium-lhs_DTLZ2,100,100,100,True
b5r,swap_medium-lhs_MMF16_20,88,88,88,True
b5r,swap_medium-lhs_WFG9,44,44,44,True
b5r,swap_medium-lhs_ZDT1,48,48,48,True
b5r,swap_medium-lhs_ZDT4,8,8,8,True
b5r,swap_medium-mvns_DTLZ2,88,88,88,True
b5r,swap_medium-mvns_MMF16_20,70,70,70,True
b5r,swap_medium-mvns_WFG9,42,42,42,True
b5r,swap_medium-mvns_ZDT1,47,47,47,True
b5r,swap_medium-mvns_ZDT4,15,15,15,True
b5r,swap_small-lhs_DTLZ2,83,83,83,True
b5r,swap_small-lhs_MMF16_20,74,74,74,True
b5r,swap_small-lhs_WFG9,45,45,45,True
b5r,swap_small-lhs_ZDT1,47,47,47,True
b5r,swap_small-lhs_ZDT4,12,12,12,True
b5r,swap_small-mvns_DTLZ2,78,78,78,True
b5r,swap_small-mvns_MMF16_20,86,86,86,True
b5r,swap_small-mvns_WFG9,46,46,46,True
b5r,swap_small-mvns_ZDT1,47,47,47,True
b5r,swap_small-mvns_ZDT4,8,8,8,True
c311,BBOB_F1,50,50,50,True
c311,BBOB_F17,2,2,2,True
c311,BBOB_F22,14,14,14,True
c311,BBOB_F37,50,50,50,True
c311,BBOB_F49,32,32,32,True
c311,BBOB_F5,50,50,50,True
c311,BBOB_F55,50,50,50,True
c311,DTLZ1,104,104,104,True
c311,DTLZ2,94,94,94,True
c311,DTLZ3,95,95,95,True
c311,DTLZ4,99,99,99,True
c311,DTLZ7,79,79,79,True
c311,MMF1,50,50,50,True
c311,MMF11_L,50,50,50,True
c311,MMF16_20,93,93,93,True
c311,MMF4,50,50,50,True
c311,WFG1,50,50,50,True
c311,WFG2,34,34,34,True
c311,WFG4,50,50,50,True
c311,WFG5,50,50,50,True
c311,WFG9,50,50,50,True
c311,ZDT1,50,50,50,True
c311,ZDT3,50,50,50,True
c311,ZDT4,50,50,50,True
c311,ZDT6,50,50,50,True
c311,swap_big-lhs_DTLZ2,105,105,105,True
c311,swap_big-lhs_MMF16_20,105,105,105,True
c311,swap_big-lhs_WFG9,50,50,50,True
