label,exp,problema,D,M,N,tier,dist,status,motivo_parada,maxfe,fe_final,n_geracoes,c1_rows,c1_all_init,c1_feidx_denso,c1_sid_denso,c2_rows,c3_rows,c3_regimes,c3_busca,c3_sonda,c3_ger_min,c3_ger_max,c3_ger_denso,c3_ger_nunique,pop_min,pop_max,pop_const,c3_rsid_null,c3_sonda_ger_null,c3_fetm,c3_fetm_uniq,c3_espaco,c3_transf_null,c3_flag,c3_predtipo,c3_predscore_null,c3_predconf_null,c3_sigma_nan,c3_sigma_min,c3_sigma_neg,c4_rows,c4_fit,c4_busca,c4_sonda,c4_ger,c4_nacum,m_fitseries,m_cachehits,m_tempo_total,m_aval_real,m_sonda_blocos,m_sonda_S,m_has_params,m_sigma_keys,j_lines,j_dec,j_sonda,j_footer,j_guard,j_other,j_dec_gerdenso,j_caminhos,j_ndsmembros_max,j_fe_uniq,j_fe_val,j_pwrong_stats,j_hdr_pesos,j_footer_nfinal,j_footer_nnd,j_footer_status,j_sonda_npontos,j_sonda_hashchk,c7_rows,c7_nd,c7_origem_ger,c7_osid_null,fman_n,doe_hash_eq,sonda_xhash
DTLZ7,offline,DTLZ7,22,3,681,,,ok,orcamento,681,681,381,681,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,41.48150634765625,2844.925537109375,3.5982699394226074,2886.406982421875,681,1,0,2893.0034,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,681,0,False,105,28,ok,20000,ok (conferido no arranque — load_sonda),105,28,381,True,105,True,1085e34340bd36267bed9e676c0dc06b3ffa08410e0e32c0a122e2d31cbc743f
MMF1,offline,MMF1,2,2,61,,,ok,orcamento,61,61,801,61,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,60,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,4.6670588744746055e-06,0,1,0.10396027565002441,2960.448974609375,0.1360490322113037,2960.552734375,61,1,0,2963.1691,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,61,0,False,50,19,ok,20000,ok (conferido no arranque — load_sonda),50,19,801,True,50,True,e1c15f31ebd8631234b4b9ae5574b1053de9e00a8a79a369c883ce52ebc0db72
MMF11_L,offline,MMF11_L,2,2,61,,,ok,orcamento,61,61,801,61,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,60,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,0.033782005310058594,2674.00634765625,0.13082218170166016,2674.040283203125,61,1,0,2677.0127,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,61,0,False,50,32,ok,20000,ok (conferido no arranque — load_sonda),50,32,801,True,50,True,7354f93a797c42e83017fba700659a4cf3c06df2be6a3e58f8b5dee319d64fe3
MMF16_20,offline,MMF16_20,20,3,619,,,ok,orcamento,619,619,381,619,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,618,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.035480987280607224,0,1,22.503971099853516,3182.92626953125,3.096451997756958,3205.430419921875,619,1,0,3211.5002,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,619,0,False,105,45,ok,20000,ok (conferido no arranque — load_sonda),105,45,381,True,105,True,4f679dcb4a600bd6b8319cb4eef95c63cda8eda41aaf10cdcd01ffe0dc89db94
MMF4,offline,MMF4,2,2,61,,,ok,orcamento,61,61,801,61,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,60,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,4.336140045779757e-05,0,1,0.09315919876098633,2695.712158203125,0.12830686569213867,2695.80517578125,61,1,0,2698.2783,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,61,0,False,50,32,ok,20000,ok (conferido no arranque — load_sonda),50,32,801,True,50,True,6e2861117f4784b13d813ef542321a457d295b31d13bf7c7dfdc4c5cd438f927
WFG1,offline,WFG1,22,2,681,,,ok,orcamento,681,681,801,681,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.003722002264112234,0,1,13.767627716064453,2921.430908203125,2.428755044937134,2935.198486328125,681,1,0,2940.278,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,681,0,False,50,24,ok,20000,ok (conferido no arranque — load_sonda),50,24,801,True,50,True,15390a8b73baf3e8e9de1c8f02af89d4954be756e3ad5f0e94b911b3c4e04e6a
WFG2,offline,WFG2,22,2,681,,,ok,orcamento,681,681,801,681,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.004967309068888426,0,1,15.076569557189941,2850.316162109375,2.444678783416748,2865.392578125,681,1,0,2870.3085,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,681,0,False,50,14,ok,20000,ok (conferido no arranque — load_sonda),50,14,801,True,50,True,e216f8c5fdb9dcd969ff3bbdb2104df6bda217f8155529b3bc32b0f9e35f0b45
WFG4,offline,WFG4,22,2,681,,,ok,orcamento,681,681,801,681,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.030464552342891693,0,1,13.7567777633667,2746.25341796875,2.4455630779266357,2760.010009765625,681,1,0,2765.2329,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,681,0,False,50,21,ok,20000,ok (conferido no arranque — load_sonda),50,21,801,True,50,True,c27848ae16356bcf1bf6f1c02e4f38c6bb0423ba9794677cfb73414598e31035
WFG5,offline,WFG5,22,2,681,,,ok,orcamento,681,681,801,681,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.02652638778090477,0,1,14.28530502319336,2760.00732421875,2.522458076477051,2774.292724609375,681,1,0,2779.5252,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,681,0,False,50,21,ok,20000,ok (conferido no arranque — load_sonda),50,21,801,True,50,True,1e92bec9d1609b946e29f64f269dbc40aed86a4cc7460a80cb29bdf73ff78c8d
WFG9,offline,WFG9,22,2,681,,,ok,orcamento,681,681,801,681,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,680,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.026002079248428345,0,1,14.677576065063477,2912.53857421875,2.450042963027954,2927.216064453125,681,1,0,2932.5327,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,681,0,False,50,19,ok,20000,ok (conferido no arranque — load_sonda),50,19,801,True,50,True,ec29d5cc9b6ceff8a29f28e89b70f8eb4e7fe6f79ab0f5fa170d302e50fa2be3
