config,label,problema,M,n_ger,n_adapt,adapt_com_col_zerada,adapt_TODAS_zeradas,objs_sempre_zerados,frac_adapt_col_zerada,primeiro_adapt_zerado,primeiro_adapt_TODAS,transicoes,congeladas,frac_congelada,primeira_congelada,congelado_desde,frac_run_congelado
b5r,swap_medium-mvns_WFG9,WFG9,2,954,96,0,0,0,0.0,,,953,0,0.0,,954,0.0
b5r,swap_medium-mvns_ZDT1,ZDT1,2,864,87,0,0,0,0.0,,,863,0,0.0,,864,0.0
b5r,swap_medium-mvns_ZDT4,ZDT4,2,3660,366,0,0,0,0.0,,,3659,89,0.02432358567914731,9.0,3660,0.0
b5r,swap_small-lhs_DTLZ2,DTLZ2,3,504,51,0,0,0,0.0,,,503,0,0.0,,504,0.0
b5r,swap_small-lhs_MMF16_20,MMF16_20,3,595,60,0,0,0,0.0,,,594,0,0.0,,595,0.0
b5r,swap_small-lhs_WFG9,WFG9,2,906,91,0,0,0,0.0,,,905,0,0.0,,906,0.0
b5r,swap_small-lhs_ZDT1,ZDT1,2,878,88,0,0,0,0.0,,,877,0,0.0,,878,0.0
b5r,swap_small-lhs_ZDT4,ZDT4,2,3845,385,0,0,0,0.0,,,3844,22,0.005723204994797087,6.0,3845,0.0
b5r,swap_small-mvns_DTLZ2,DTLZ2,3,557,56,0,0,0,0.0,,,556,0,0.0,,557,0.0
b5r,swap_small-mvns_MMF16_20,MMF16_20,3,507,51,0,0,0,0.0,,,506,0,0.0,,507,0.0
b5r,swap_small-mvns_WFG9,WFG9,2,944,95,0,0,0,0.0,,,943,0,0.0,,944,0.0
b5r,swap_small-mvns_ZDT1,ZDT1,2,854,86,0,0,0,0.0,,,853,0,0.0,,854,0.0
b5r,swap_small-mvns_ZDT4,ZDT4,2,5548,555,3,3,0,0.005405405405405406,241.0,241.0,5547,111,0.020010816657652784,26.0,5548,0.0
