alg,exp,problema,regime,status,tempo_aval_real_s,tempo_total_s,tempo_busca_s,tempo_fit_s,tem_params,schema,campanha_id,repo_hash,doe_hash,path
b5m,off,BBOB_F49,offline,ok,0.0,3589.5938,3584.7207,0.9387,False,1,,,4c282ef0de8cdf39,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F49/42/exp_off_b5m_BBOB_F49_42.manifest.json
b5m,off,BBOB_F5,offline,ok,0.0,2981.9469,2976.8296,0.7767,False,1,,,33ef83f624ce5393,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F5/42/exp_off_b5m_BBOB_F5_42.manifest.json
b5m,off,BBOB_F55,offline,ok,0.0,2872.6748,2868.1527,0.9734,False,1,,,56dca61b277d6c73,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F55/42/exp_off_b5m_BBOB_F55_42.manifest.json
b5m,off,DTLZ1,offline,ok,0.0,3056.6153,3050.1925,0.1761,False,1,,,a5c89886de9b55b7,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/DTLZ1/42/exp_off_b5m_DTLZ1_42.manifest.json
b5m,off,DTLZ2,offline,ok,0.0,3264.702,3254.5529,4.1596,False,1,,,77b3ca1a9021b378,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/DTLZ2/42/exp_off_b5m_DTLZ2_42.manifest.json
b5m,off,DTLZ3,offline,ok,0.0,3234.0863,3226.5845,0.7303,False,1,,,80e82645869c393d,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/DTLZ3/42/exp_off_b5m_DTLZ3_42.manifest.json
b5m,off,DTLZ4,offline,ok,0.0,3000.704,2992.1065,4.6321,False,1,,,15a604f6a06a6bef,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/DTLZ4/42/exp_off_b5m_DTLZ4_42.manifest.json
b5m,off,DTLZ7,offline,ok,0.0,2893.0034,2844.9256,41.4815,False,1,,,a54669cbbb04b1c6,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/DTLZ7/42/exp_off_b5m_DTLZ7_42.manifest.json
b5m,off,MMF1,offline,ok,0.0,2963.1691,2960.4489,0.104,False,1,,,4683eab322a3dbaa,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/MMF1/42/exp_off_b5m_MMF1_42.manifest.json
b5m,off,MMF11_L,offline,ok,0.0,2677.0127,2674.0064,0.0338,False,1,,,aae1ad78a3eb5774,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/MMF11_L/42/exp_off_b5m_MMF11_L_42.manifest.json
