label,exp,tier,dist,problema,M,geracao,pop,teto,fase
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,5050,78,105,final
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,5549,105,105,final
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,6049,105,105,final
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,1,74,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,10,103,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,25,105,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,50,105,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,51,104,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,52,103,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,100,105,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,2244,105,105,build
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,2245,72,105,final
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,2744,105,105,final
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,3244,105,105,final
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,1,36,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,10,39,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,25,44,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,50,44,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,51,19,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,52,18,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,100,46,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,306,50,50,build
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,307,30,50,final
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,806,50,50,final
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,1306,50,50,final
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,1,42,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,10,49,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,25,50,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,50,50,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,51,50,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,52,47,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,100,50,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,918,49,50,build
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,919,41,50,final
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,1418,50,50,final
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,1918,50,50,final
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,1,32,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,10,42,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,25,45,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,50,46,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,51,44,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,52,33,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,100,40,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,2550,50,50,build
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,2551,38,50,final
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,3050,50,50,final
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,3550,50,50,final
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,1,76,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,10,104,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,25,104,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,50,105,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,51,104,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,52,91,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,100,102,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,2856,102,105,build
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,2857,80,105,final
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,3356,104,105,final
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,3856,105,105,final
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,1,36,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,10,35,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,25,42,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,50,44,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,51,27,50,build
