label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
WFG2,off,small,lhs,WFG2,0,1,22,2,681,4,0.46159312009209874,0.2927112686117578,1.0,7969,0.60155,2.48463712879204e-34,3.7462985515594482,0.5863766954455871,4.749698586255175,1.6487016929783131,0.7209601103937654
WFG2,off,small,lhs,WFG2,1,0,22,2,681,4,0.6658744926392031,-0.6014005446858447,1.0,8775,0.56125,3.310728181624384e-34,0.9717118144035339,0.39790968432287843,2.6714416560473806,0.8073945444795623,0.36680298665258454
WFG2,off,small,lhs,WFG2,1,1,22,2,681,4,0.46159312009209874,0.2927112686117578,1.0,7969,0.60155,2.48463712879204e-34,3.7462985515594482,0.5863766954455871,4.749698586255175,1.6487016929783131,0.7209601103937654
WFG4,off,small,lhs,WFG4,0,0,22,2,681,4,0.797197804696966,-0.44151667366457675,1.0,12936,0.3532,7.840799150134278e-36,1.1379470825195312,0.2797782932558552,2.474740808848505,1.1086234945824183,0.38109728397335174
WFG4,off,small,lhs,WFG4,0,1,22,2,681,4,0.6416593442416215,0.4030311276138201,1.0,12936,0.3532,1.3576502009446258e-35,3.9520323276519775,0.5166612172982763,4.553796453633119,2.312978407596427,0.5217466608595851
WFG4,off,small,lhs,WFG4,1,0,22,2,681,4,0.797197804696966,-0.44151667366457675,1.0,12936,0.3532,7.840799150134278e-36,1.1379470825195312,0.2797782932558552,2.474740808848505,1.1086234945824183,0.38109728397335174
WFG4,off,small,lhs,WFG4,1,1,22,2,681,4,0.6416593442416215,0.4030311276138201,1.0,12936,0.3532,1.3576502009446258e-35,3.9520323276519775,0.5166612172982763,4.553796453633119,2.312978407596427,0.5217466608595851
WFG5,off,small,lhs,WFG5,0,0,22,2,681,4,0.4115025198776358,0.16616315435899287,1.0,6453,0.67735,4.5687338558853716e-35,2.190136671066284,0.5769722417826723,2.714283967898375,0.7928107154562846,0.33605043365814363
WFG5,off,small,lhs,WFG5,0,1,22,2,681,4,0.4597311263464829,0.09211723210531772,1.0,6466,0.6767,5.122542362733553e-36,3.6529934406280518,0.48267260437621473,4.656940430520886,1.4328285799171336,0.7189603500634867
WFG5,off,small,lhs,WFG5,1,0,22,2,681,4,0.4115025198776358,0.16616315435899287,1.0,6453,0.67735,4.5687338558853716e-35,2.190136671066284,0.5769722417826723,2.714283967898375,0.7928107154562846,0.33605043365814363
WFG5,off,small,lhs,WFG5,1,1,22,2,681,4,0.4597311263464829,0.09211723210531772,1.0,6466,0.6767,5.122542362733553e-36,3.6529934406280518,0.48267260437621473,4.656940430520886,1.4328285799171336,0.7189603500634867
WFG9,off,small,lhs,WFG9,0,0,22,2,681,4,0.49491150706096143,0.10232717780413193,1.0,7178,0.6411,1.302587560253995e-34,2.1632330417633057,0.3884963206064257,2.937960448168603,0.9895975030555674,0.5092529782277385
WFG9,off,small,lhs,WFG9,0,1,22,2,681,4,0.535871465345794,-0.0697627563108034,1.0,7178,0.6411,3.525182432252525e-34,3.369507074356079,0.6491432496835363,4.950165885958182,1.8281752866294183,0.8969879067998335
