problema,geracao,N,arq,inter_obj,inter_dec,P_eq_obj,P_eq_dec,mono_obj,mono_dec,quota,sig0,cand_dist
ZDT4,222,100,233,99,28,False,False,False,False,"[8, 32, 40, 20]",0.0,0.0
ZDT4,226,100,235,99,28,False,False,False,False,"[8, 32, 40, 20]",0.0,0.0
ZDT4,230,100,237,98,27,False,False,False,False,"[9, 32, 39, 20]",0.0,0.0
ZDT4,234,100,239,97,28,False,False,False,False,"[10, 31, 39, 20]",0.0,0.0
ZDT4,238,100,241,96,27,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,242,100,243,97,27,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,246,100,245,97,26,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,250,100,247,97,26,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,254,100,249,98,28,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,258,100,251,98,27,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,262,100,253,100,25,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,266,100,255,98,26,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,270,100,257,99,25,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,274,100,259,94,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,278,100,261,98,23,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,282,100,263,100,23,True,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT6,2,100,111,100,91,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,6,100,113,100,90,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,10,100,115,100,90,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,14,100,117,99,88,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,18,100,119,98,87,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,22,100,121,100,84,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,26,100,123,100,84,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,30,100,125,99,83,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,34,100,127,99,82,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT6,38,100,129,100,82,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,42,100,131,98,80,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,46,100,133,100,80,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,50,100,135,97,77,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT6,62,100,143,98,76,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
