problema,geracao,aceito,range0,n_front_ev,n_sigma_val,hv_base,hv_gain,score_best,pos,is_argmax,dif_sig_score
BBOB_F17,83,1,False,100,100,0.844009726076798,0.15599027392320197,1.0,2,True,3.0965133124283284e-08
BBOB_F17,87,1,False,100,100,0.844009726076798,0.15599027392320197,1.0,4,True,3.0965133124283284e-08
BBOB_F17,91,1,False,100,100,0.9033948621113362,0.09660513788866376,1.0,6,True,3.070043896880037e-08
BBOB_F17,95,1,False,100,100,0.9038490011294784,0.09615099887052159,1.0,10,True,3.4372001689320086e-08
BBOB_F17,99,1,False,100,100,0.9038490011294784,0.09615099887052159,1.0,13,True,3.4372001689320086e-08
BBOB_F17,103,1,False,100,100,0.9038490011294784,0.09615099887052159,1.0,37,True,3.4372001689320086e-08
BBOB_F17,107,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,22,True,3.63448908746733e-08
BBOB_F17,111,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,14,True,3.63448908746733e-08
BBOB_F17,115,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,20,True,3.63448908746733e-08
BBOB_F17,119,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,66,True,3.63448908746733e-08
BBOB_F17,123,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,49,True,3.63448908746733e-08
BBOB_F17,127,1,False,100,100,0.9863394862273982,0.013660513772601801,1.0,14,True,3.63448908746733e-08
BBOB_F17,131,1,False,100,100,0.9864690754198928,0.013530924580107184,1.0,21,True,3.013848259847407e-08
BBOB_F17,135,1,False,100,100,0.9872657911640159,0.012734208835984084,1.0,18,True,3.410759052968615e-08
BBOB_F17,139,1,False,100,100,0.9872657911640159,0.012734208835984084,1.0,4,True,3.410759052968615e-08
BBOB_F17,143,1,False,100,100,0.9873921425833518,0.01260785741664816,1.0,22,True,2.997062753529178e-08
BBOB_F17,147,1,False,100,100,0.9544243831131142,0.03996360396432985,0.994387987077444,26,True,3.1659333044053994e-08
BBOB_F17,151,1,False,100,100,0.9544243831131142,0.04453371660705807,0.9989580997201722,38,True,3.1659333044053994e-08
BBOB_F17,155,1,False,100,100,0.9544243831131142,0.04557561688688583,1.0,56,True,3.1659333044053994e-08
BBOB_F17,159,1,False,100,100,0.9544243831131142,0.04557561688688583,1.0,39,True,3.1659333044053994e-08
BBOB_F17,163,1,False,100,100,0.9574021323061138,0.04259786769388618,1.0,20,True,3.739832343807592e-08
BBOB_F17,167,1,False,100,100,0.9574021323061138,0.04259786769388618,1.0,33,True,3.739832343807592e-08
