ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
97,44,30,30,0.0,0.1028885,0.61671,50,0,
98,23,16,16,0.0,0.1000675,0.931011,50,0,
99,16,11,11,0.0,0.06372225000000001,0.542359,50,0,
100,22,17,17,0.0,0.0936875,0.547944,50,0,
101,33,13,13,0.0,0.10537275,0.785285,50,0,
102,90,36,36,0.0,0.18976975,0.888897,50,0,
103,65,36,36,0.0,0.16094599999999998,0.81594,50,0,
104,31,20,20,0.0,0.15177475,0.664861,50,0,
105,43,30,30,0.0,0.16789474999999998,0.559787,50,0,
106,39,21,21,0.0,0.197293,0.537285,50,0,
107,26,19,19,0.0,0.13514925,0.61531,50,0,
108,40,26,26,0.0,0.15901525,0.6163,50,0,
109,50,31,31,0.0,0.176282,0.576654,50,0,
110,31,24,24,0.0,0.09668625,0.551378,50,0,
111,27,19,19,0.0,0.102835,0.675952,50,0,
112,128,40,40,0.0,0.21824000000000002,1.0,50,0,
113,41,29,29,0.0,0.17610325,0.742994,50,0,
114,25,19,19,0.0,0.16958225,0.624517,50,0,
115,46,27,27,0.0,0.138957,0.791788,50,0,
116,25,19,19,0.0,0.12569825,0.534871,50,0,
117,22,17,17,0.0,0.08694374999999999,0.742162,50,0,
118,22,16,16,0.0,0.088551,0.877007,50,0,
119,20,15,14,0.0,0.09587425000000001,0.580598,50,0,
120,29,18,18,0.0,0.11377725,0.52423,50,0,
121,27,20,19,0.0,0.09823075,0.646615,50,0,
122,19,15,15,0.0,0.09323125,0.564658,50,0,
123,26,20,20,0.0,0.10458424999999999,0.555,50,0,
124,18,11,11,0.0,0.0801525,0.537338,50,0,
125,14,10,10,0.0,0.07914399999999999,0.52731,50,0,
126,29,17,17,0.0,0.10297049999999999,0.687569,50,0,
127,25,16,16,0.0,0.088195,0.534894,50,0,
128,10,8,8,0.0,0.07806199999999999,0.55979,50,0,
129,10,9,9,0.0,0.07584025,0.537542,50,0,
130,6,5,5,0.0,0.095112,0.521933,50,0,
131,8,7,7,0.0,0.06129425,0.525892,50,0,
132,25,20,20,0.0,0.06418525,0.539672,50,0,
133,25,20,20,0.0,0.09330325,0.820258,50,0,
134,20,13,12,0.0,0.07923875,0.539423,50,0,
135,21,16,16,0.0,0.0611655,0.620597,50,0,
136,18,15,15,0.0,0.05854925,0.565954,50,0,
137,14,12,12,0.0,0.0681795,0.540884,50,0,
138,8,5,5,0.0,0.0577545,0.544359,50,0,
139,19,18,18,0.0,0.08349525,0.600443,50,0,
140,18,14,14,0.0,0.06387475000000001,0.723837,50,0,
141,4,4,4,0.0,0.048395999999999995,0.574727,50,0,
142,17,15,15,0.0,0.061704999999999996,0.999987,50,0,
143,9,9,9,0.0,0.057695,0.563336,50,0,
144,13,11,11,0.0,0.06755325000000001,0.618195,50,0,
145,17,10,10,0.0,0.049402249999999995,0.786152,50,0,
146,25,16,16,0.0,0.0271135,0.669738,50,0,
147,13,11,10,0.0,0.07973975,0.919453,50,0,
148,21,16,16,0.0,0.039886,0.888284,50,0,
149,8,8,8,0.0,0.04220875,0.569106,50,0,
150,18,17,17,0.0,0.0188195,0.643191,50,0,
151,13,10,10,0.0,0.059933249999999993,0.531418,50,0,
152,42,29,29,0.0,0.1452195,0.932284,50,0,
153,54,30,30,0.0,0.1284015,0.886433,50,0,
154,21,19,19,0.0,0.081249,0.807476,50,0,
155,15,13,13,0.0,0.046118,0.637788,50,0,
156,20,17,17,0.0,0.0419165,0.916976,50,0,
157,10,7,7,0.0,0.04606675,0.810979,50,0,
158,20,15,15,0.0,0.0330725,0.53165,50,0,
159,13,9,9,0.0,0.0402555,0.57966,50,0,
160,16,15,15,0.0,0.04951825,0.544335,50,0,
161,13,11,11,0.0,0.0431445,0.560431,50,0,
162,88,43,43,0.0,0.148063,0.972957,50,0,
163,51,29,29,0.0,0.11361199999999999,0.604175,50,0,
164,24,18,18,0.0,0.09055025,0.947661,50,0,
165,21,15,14,0.0,0.1083875,0.583838,50,0,
166,28,18,18,0.0,0.08175525,0.572294,50,0,
167,21,13,13,0.0,0.11349200000000001,0.52403,50,0,
168,27,22,22,0.0,0.08191,0.551363,50,0,
169,13,13,11,0.0,0.1066695,0.807167,50,0,
170,21,20,20,0.0,0.09359575,0.593944,50,0,
171,20,13,13,0.0,0.06769125000000001,0.531811,50,0,
172,36,24,24,0.0,0.06986425,0.676048,50,0,
173,45,26,26,0.0,0.07850775,0.548287,50,0,
174,27,19,19,0.0,0.1000055,0.602979,50,0,
175,32,22,22,0.0,0.09923125,0.568839,50,0,
176,17,14,14,0.0,0.08434549999999999,0.761452,50,0,
177,21,17,16,0.0,0.09215000000000001,0.526742,50,0,
178,9,6,5,0.0,0.0959835,0.516464,50,0,
