label,D,n_x,M,n_dataset,maxfe,status,motivo_parada,tempo_aval_real_s,tempo_total_s,fit_series_len,camada4_linhas,camada2_linhas,camada1_linhas,fase_init,n_ger,pop,pop_const,ident_nger,linhas_busca,linhas_sonda,sonda_ger_null,n_blocos_sonda,sigma_nan,real_sol_id_null,fe_treino_max_unico,fe_treino_max,x_dentro_bounds,n_dec,n_footer,n_hdr_keys,t11_p_wrong_stats,t11_n_substituicoes,t11_flag_vet_deg,t11_campanha_id,t11_pesos_header,params_no_5,sigma_dict_chaves,c7_linhas,c7_nd,c7_origem_ger_ultima,c7_origem_sol_null,fantasia,turn_med,turn_1a,n_congeladas,ampl_mu_final,spearman_turn,t_fit,t_busca,t_ger,t_sonda
swap_small-lhs_DTLZ2,12,12,3,371,371,ok,orcamento,0.0,2941.7287,1,1,0,371,371,381,105,1,1,40005,20000,1,1,0,1,1,370.0,,381,2,22,0,0,0,0,0,0,18,105,83,1,1,0.7904761904761904,0.11428571428571428,0.9714285714285714,0,1.8100695610046387,-0.6808912164637444,4.0464768409729,2932.595703125,2936.64208984375,1.20853590965271
swap_small-lhs_MMF16_20,20,20,3,619,619,ok,orcamento,0.0,3102.8712,1,1,0,619,619,381,105,1,1,40005,20000,1,1,0,1,1,618.0,,381,2,22,0,0,0,0,0,0,18,105,45,1,1,0.42857142857142855,0.10476190476190476,1.0,0,3.8666608333587646,-0.7630787614198689,22.31340217590332,3074.197998046875,3096.511474609375,3.1162731647491455
swap_small-lhs_WFG9,22,22,2,681,681,ok,orcamento,0.0,2785.5661,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,19,1,1,0.38,0.14,0.98,0,4.819994926452637,-0.6909351398240877,14.61589527130127,2765.4619140625,2780.077880859375,2.5167691707611084
swap_small-lhs_ZDT1,30,30,2,929,929,ok,orcamento,0.0,2809.392,1,1,0,929,929,801,50,1,1,40050,20000,1,1,0,1,1,928.0,,801,2,22,0,0,0,0,0,0,18,50,13,1,1,0.26,0.18,0.98,0,1.7982488870620728,-0.6172291873232563,61.32840347290039,2740.574951171875,2801.9033203125,4.624232769012451
swap_small-lhs_ZDT4,10,10,2,309,309,ok,orcamento,0.0,2631.0043,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,13,1,1,0.26,0.9,0.98,0,13.024388313293457,-0.5416978794177443,1.7716789245605469,2625.818115234375,2627.589599609375,0.6640918254852295
swap_small-mvns_DTLZ2,12,12,3,371,371,ok,orcamento,0.0,2993.6955,1,1,0,371,371,381,105,1,1,40005,20000,1,1,0,1,1,370.0,,381,2,22,0,0,0,0,0,0,18,105,38,1,1,0.3619047619047619,0.11428571428571428,0.9809523809523809,0,2.3298873901367188,-0.4823967637139793,4.111945152282715,2985.182861328125,2989.294921875,1.2660999298095703
swap_small-mvns_MMF16_20,20,20,3,619,619,ok,orcamento,0.0,3137.0205,1,1,0,619,619,381,105,1,1,40005,20000,1,1,0,1,1,618.0,,381,2,22,0,0,0,0,0,0,18,105,52,1,1,0.49523809523809526,0.11428571428571428,1.0,0,3.9676003456115723,-0.7076002471196194,23.335906982421875,3106.966064453125,3130.302001953125,3.101628065109253
swap_small-mvns_WFG9,22,22,2,681,681,ok,orcamento,0.0,2673.2548,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,19,1,1,0.38,0.18,1.0,2,4.829988479614258,-0.8332544752758986,15.450714111328125,2652.144287109375,2667.594970703125,2.5656490325927734
swap_small-mvns_ZDT1,30,30,2,929,929,ok,orcamento,0.0,2772.8769,1,1,0,929,929,801,50,1,1,40050,20000,1,1,0,1,1,928.0,,801,2,22,0,0,0,0,0,0,18,50,46,1,1,0.92,0.0,0.98,565,1.1369351148605347,-0.44114090457550814,66.23117065429688,2698.717529296875,2764.94873046875,4.698526859283447
swap_small-mvns_ZDT4,10,10,2,309,309,ok,orcamento,0.0,2589.2455,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,1,1,1,0.02,1.0,1.0,0,1.0216130018234253,-0.163812286284462,3.194509744644165,2581.642822265625,2584.83740234375,0.7023842334747314
