alg,problema,semente,D,M,N_ef,par,n_ger_real,cache_total,cache_init,n_dup_evo,fe_g1,g1_eh_snapshot,f_T11_dupevo,f_T11_duptot,f_antiga,f_ceilF5,f_D_mais_1,ok_f_T11_dupevo,ok_f_T11_duptot,ok_f_antiga,ok_f_ceilF5,ok_f_D_mais_1
nsga2,MMF11_L,42,2,2,20,20,3,22,21,1,21,True,2,3,2,3,3,False,True,False,True,True
nsga2,MMF16_20,42,20,3,20,20,21,31,21,10,219,True,20,21,20,21,21,False,True,False,True,True
nsga2,MMF4,42,2,2,20,20,3,21,21,0,21,True,2,3,2,2,3,False,True,False,False,True
nsga2,WFG1,42,22,2,20,20,23,33,21,12,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,WFG2,42,22,2,20,20,23,32,21,11,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,WFG4,42,22,2,20,20,23,32,21,11,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,WFG5,42,22,2,20,20,23,31,21,10,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,WFG9,42,22,2,20,20,23,31,21,10,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,ZDT1,42,30,2,20,20,31,40,21,19,329,True,30,32,30,31,31,False,False,False,True,True
nsga2,ZDT3,42,30,2,20,20,31,32,21,11,329,True,30,31,30,31,31,False,True,False,True,True
nsga2,ZDT4,42,10,2,20,20,11,27,21,6,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,ZDT6,42,10,2,20,20,11,30,21,9,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,DTLZ2,0,12,3,15,14,19,28,16,12,131,True,18,19,16,17,17,False,True,False,False,False
nsga3,MMF1,0,2,2,20,20,3,23,21,2,21,True,2,3,2,3,3,False,True,False,True,True
nsga3,ZDT1,0,30,2,20,20,31,40,21,19,329,True,30,32,30,31,31,False,False,False,True,True
nsga3,BBOB_F1,42,10,2,20,20,11,23,21,2,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,BBOB_F17,42,10,2,20,20,11,22,21,1,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,BBOB_F22,42,10,2,20,20,11,32,21,11,109,True,10,11,10,11,11,False,True,False,True,True
