problema,ciclo,ramo,n_inf,n_achados,rank_min,ranks,km_ok,nf1_log,nf1_pop,nf1_arq,warm_inter,head_mean,head_std
ZDT1,154,convergencia,3,3,0,"[0, 30, 71]",2,25,38,25,0.0,0.4660244882106781,0.2806032598018646
ZDT1,155,convergencia,3,3,0,"[0, 54, 97]",3,25,48,25,0.0,0.46147620677948,0.29055482149124146
ZDT1,156,incerteza,3,3,0,"[0, 1, 6]",2,25,33,25,0.0,0.4608078598976135,0.28550827503204346
ZDT1,157,convergencia,3,3,0,"[0, 14, 78]",3,25,41,25,0.0,0.4610694646835327,0.2800567150115967
ZDT1,158,incerteza,3,3,0,"[0, 1, 56]",3,25,27,25,0.0,0.4524771273136139,0.2916945219039917
ZDT1,159,convergencia,3,3,0,"[0, 1, 96]",1,27,55,25,0.0,0.4461279809474945,0.28551846742630005
ZDT1,160,incerteza,3,3,0,"[0, 20, 28]",3,27,42,27,0.0,0.45318958163261414,0.28681376576423645
ZDT1,161,convergencia,3,3,0,"[0, 51, 96]",3,27,45,27,0.0,0.44965794682502747,0.2908719778060913
ZDT1,162,incerteza,3,3,0,"[0, 1, 52]",3,27,32,27,0.0,0.44688326120376587,0.2854602634906769
ZDT1,163,convergencia,3,3,0,"[0, 53, 97]",3,27,37,27,0.0,0.4513522982597351,0.2840804159641266
ZDT1,164,convergencia,3,3,0,"[0, 52, 97]",2,27,29,27,0.0,0.45699408650398254,0.28447043895721436
ZDT1,165,convergencia,3,3,0,"[0, 49, 88]",3,27,40,27,0.0,0.4555371105670929,0.28846848011016846
ZDT1,166,convergencia,3,3,0,"[0, 46, 96]",3,28,38,27,0.0,0.47280412912368774,0.2971113920211792
ZDT1,167,convergencia,3,3,0,"[0, 44, 92]",3,28,35,28,0.0,0.4464279115200043,0.28212791681289673
ZDT1,168,convergencia,3,3,0,"[0, 54, 96]",1,28,37,28,0.0,0.4554925262928009,0.2865585386753082
ZDT1,169,convergencia,3,3,0,"[0, 11, 72]",3,28,34,28,0.0,0.46571841835975647,0.2873278558254242
ZDT1,170,convergencia,3,3,0,"[0, 49, 96]",2,28,28,28,0.0,0.45548462867736816,0.2852799892425537
ZDT1,171,convergencia,3,3,0,"[0, 58, 88]",3,28,37,28,0.0,0.46760091185569763,0.2910241186618805
ZDT1,172,convergencia,3,3,0,"[0, 39, 91]",2,28,49,28,0.0,0.45223599672317505,0.28799116611480713
ZDT1,173,incerteza,3,3,0,"[0, 4, 40]",3,28,39,28,0.0,0.4611857831478119,0.2879197299480438
ZDT1,174,incerteza,3,3,0,"[0, 4, 40]",3,28,30,28,0.0,0.47760552167892456,0.2867511808872223
ZDT1,175,convergencia,3,3,0,"[0, 48, 90]",3,28,32,28,0.0,0.4481159746646881,0.2755747437477112
ZDT1,176,convergencia,3,3,0,"[0, 19, 66]",1,28,44,28,0.0,0.4432593286037445,0.2878727316856384
ZDT1,177,incerteza,3,3,0,"[0, 6, 56]",3,28,26,28,0.0,0.4595014154911041,0.280062198638916
ZDT1,178,convergencia,3,3,0,"[0, 36, 99]",3,28,27,28,0.0,0.46217113733291626,0.28842893242836
ZDT1,179,convergencia,3,3,0,"[0, 33, 68]",3,28,51,28,0.0,0.450691282749176,0.2899574339389801
ZDT1,180,convergencia,3,3,0,"[0, 32, 90]",2,28,44,28,0.0,0.4441239535808563,0.27863240242004395
ZDT1,181,convergencia,3,3,0,"[0, 1, 60]",1,28,42,28,0.0,0.4643673896789551,0.28860294818878174
ZDT1,182,incerteza,3,3,0,"[0, 6, 37]",3,28,31,28,0.0,0.4471205174922943,0.2884284555912018
ZDT1,183,convergencia,3,3,0,"[0, 23, 89]",3,26,34,28,0.0,0.4812162220478058,0.28480714559555054
ZDT1,184,incerteza,3,3,0,"[0, 7, 39]",3,26,27,26,0.0,0.4583524465560913,0.28123408555984497
ZDT1,185,convergencia,3,3,0,"[0, 29, 88]",3,26,45,26,0.0,0.46063679456710815,0.2880181074142456
ZDT1,186,convergencia,3,3,0,"[0, 18, 33]",2,27,45,26,0.0,0.4559882879257202,0.27710700035095215
ZDT1,187,incerteza,3,3,0,"[0, 1, 26]",2,27,38,27,0.0,0.46292540431022644,0.28381699323654175
ZDT1,188,incerteza,3,3,0,"[0, 1, 38]",3,27,30,27,0.0,0.46003487706184387,0.2928035259246826
ZDT1,189,convergencia,3,3,0,"[0, 21, 97]",3,27,47,27,0.0,0.4558940529823303,0.28856727480888367
