alg,problema,D,M,N_nom,N_ef,n_gens,ch_total,ch_seed,ch_prole,slots,taxa,evento
smsemoa,BBOB_F55,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,DTLZ1,7,3,20,20,8,21,21,0,140,0.0,smsemoa_gen
smsemoa,DTLZ2,12,3,20,20,13,21,21,0,240,0.0,smsemoa_gen
smsemoa,DTLZ3,12,3,20,20,13,21,21,0,240,0.0,smsemoa_gen
smsemoa,DTLZ4,12,3,20,20,13,21,21,0,240,0.0,smsemoa_gen
smsemoa,DTLZ7,22,3,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,MMF1,2,2,20,20,3,27,21,6,40,0.15,smsemoa_gen
smsemoa,MMF11_L,2,2,20,20,3,27,21,6,40,0.15,smsemoa_gen
smsemoa,MMF16_20,20,3,20,20,21,21,21,0,400,0.0,smsemoa_gen
smsemoa,MMF4,2,2,20,20,3,26,21,5,40,0.125,smsemoa_gen
smsemoa,WFG1,22,2,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,WFG2,22,2,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,WFG4,22,2,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,WFG5,22,2,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,WFG9,22,2,20,20,23,21,21,0,440,0.0,smsemoa_gen
smsemoa,ZDT1,30,2,20,20,31,21,21,0,600,0.0,smsemoa_gen
smsemoa,ZDT3,30,2,20,20,31,21,21,0,600,0.0,smsemoa_gen
smsemoa,ZDT4,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,ZDT6,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
