alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
moead_media,WFG5,WFG5,main,lhs,50,15,0.3,0.3005310719031199,0.14738515711578984,0.3005310719031199,0.14738515711578984
moead_media,WFG9,WFG9,main,lhs,50,1,0.02,0.5270662155329972,0.0,0.5270662155329972,0.0
moead_media,ZDT1,ZDT1,main,lhs,50,23,0.46,0.19782000275993267,0.5398796130980991,0.19782000275993267,0.5398796130980991
moead_media,ZDT3,ZDT3,main,lhs,50,15,0.3,0.8470204964830846,0.0017049031889407075,0.8470204964830846,0.0017049031889407075
moead_media,ZDT4,ZDT4,main,lhs,50,17,0.34,210.62735414764612,0.0,210.62735414764612,0.0
moead_media,ZDT6,ZDT6,main,lhs,50,18,0.36,0.1077692969646471,0.10911523344313315,0.1077692969646471,0.10911523344313315
moead_media,swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,105,105,1.0,2.6858554259615,0.0,2.6858554259615,0.0
moead_media,swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,105,38,0.3619047619047619,0.10830292730507968,0.46842620714786226,0.10830292730507968,0.46842620714786226
moead_media,swap_medium-lhs_WFG9,WFG9,medium,lhs,50,1,0.02,0.47153908614885315,0.0021738633502173645,0.47153908614885315,0.0021738633502173645
moead_media,swap_medium-lhs_ZDT1,ZDT1,medium,lhs,50,18,0.36,0.2363395819929156,0.5018584019916155,0.2363395819929156,0.5018584019916155
moead_media,swap_medium-lhs_ZDT4,ZDT4,medium,lhs,50,10,0.2,144.511610049797,0.0,144.511610049797,0.0
moead_media,swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,105,4,0.0380952380952381,2.4272082225160583,0.0,2.4272082225160583,0.0
moead_media,swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,105,6,0.05714285714285714,0.42748315803128206,0.04481444827426659,0.42748315803128206,0.04481444827426659
moead_media,swap_medium-mvns_WFG9,WFG9,medium,mvns,50,50,1.0,0.3880102203282564,0.07756448667756284,0.3880102203282564,0.07756448667756284
moead_media,swap_medium-mvns_ZDT1,ZDT1,medium,mvns,50,22,0.44,0.4151214776173196,0.3002130237092991,0.4151214776173196,0.3002130237092991
moead_media,swap_medium-mvns_ZDT4,ZDT4,medium,mvns,50,50,1.0,144.511610049797,0.0,144.511610049797,0.0
moead_media,swap_small-lhs_DTLZ2,DTLZ2,small,lhs,105,99,0.9428571428571428,0.8903968304333774,0.00860947182430531,0.8903968304333774,0.00860947182430531
moead_media,swap_small-lhs_MMF16_20,MMF16_20,small,lhs,105,65,0.6190476190476191,0.3008439883314093,0.22320648752344352,0.3008439883314093,0.22320648752344352
moead_media,swap_small-lhs_WFG9,WFG9,small,lhs,50,1,0.02,0.5270662155329972,0.0,0.5270662155329972,0.0
moead_media,swap_small-lhs_ZDT1,ZDT1,small,lhs,50,23,0.46,0.19782000275993267,0.5398796130980991,0.19782000275993267,0.5398796130980991
moead_media,swap_small-lhs_ZDT4,ZDT4,small,lhs,50,17,0.34,210.62735414764612,0.0,210.62735414764612,0.0
moead_media,swap_small-mvns_DTLZ2,DTLZ2,small,mvns,105,102,0.9714285714285714,0.6855614410586673,0.00860947182430531,0.6855614410586673,0.00860947182430531
moead_media,swap_small-mvns_MMF16_20,MMF16_20,small,mvns,105,52,0.49523809523809526,0.08182246325694491,0.5578378559002981,0.08182246325694491,0.5578378559002981
moead_media,swap_small-mvns_WFG9,WFG9,small,mvns,50,11,0.22,0.3237291682122958,0.027003156774502098,0.3237291682122958,0.027003156774502098
moead_media,swap_small-mvns_ZDT1,ZDT1,small,mvns,50,20,0.4,0.19577202927587883,0.5567530589229998,0.19577202927587883,0.5567530589229998
moead_media,swap_small-mvns_ZDT4,ZDT4,small,mvns,50,1,0.02,204.2132483475365,0.0,204.2132483475365,0.0
e103,BBOB_F1,BBOB_F1,main,lhs,100,99,0.99,0.006707131941329389,1.0268755406557037,0.006707131941329389,1.0268755406557037
e103,BBOB_F17,BBOB_F17,main,lhs,100,9,0.09,0.0809068278140177,1.0039655088435206,0.0809068278140177,1.0039655088435206
e103,BBOB_F22,BBOB_F22,main,lhs,100,20,0.2,0.4649127323552117,0.4546381554234699,0.4649127323552117,0.4546381554234699
e103,BBOB_F37,BBOB_F37,main,lhs,100,5,0.05,0.3101446345657044,0.39286951878392024,0.3101446345657044,0.39286951878392024
