label,exp,tier,dist,problema,obj,wape,corr,cobertura95,n_validas_mu,n_nan_mu,n_sigma_valido,sigma_nan_share
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,1,0.05304131684498961,0.8805791608655951,0.9274625635389476,20000,0,7279,0.63605
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,0,0.021423445563816774,0.9986620451364673,0.8047223994894703,20000,0,6268,0.6866
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,1,0.14506695761561395,0.3383867248106385,0.9369995467593292,20000,0,6619,0.6690499999999999
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,0,0.06588393916032843,0.9881090406089388,0.9423677690401809,20000,0,18566,0.07169999999999999
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,1,0.05644163804875657,0.9912677308283304,0.9549153994431355,20000,0,18676,0.06620000000000004
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,2,0.021505199225823248,0.9969177620851724,0.9697232717247013,20000,0,19586,0.02070000000000005
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,0,0.02834071216895286,0.9968628351671006,0.98215,20000,0,20000,0.0
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,1,0.05697039058652983,0.9907780341642379,0.91375,20000,0,20000,0.0
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,2,0.002030246516880357,0.9999023535468862,0.98935,20000,0,20000,0.0
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,0,0.35389197517048626,0.1281749639925951,1.0,20000,0,3272,0.8364
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,1,0.3057091876954422,-0.03305619107428017,1.0,20000,0,783,0.96085
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,0,0.08200302278324345,0.9772104830207905,0.9405,20000,0,20000,0.0
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,1,0.0023778559930845433,0.9998179032823863,0.5524,20000,0,20000,0.0
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,0,0.01256213880957187,0.9992085081844617,0.31961217894199695,20000,0,11758,0.4121
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,1,0.15308849212203918,0.3237063359750446,0.8794481550421548,20000,0,9133,0.54335
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,0,0.05421659822093961,0.9945953420079665,0.9105,20000,0,20000,0.0
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,1,0.06840641254035491,0.9919156735040852,0.87285,20000,0,20000,0.0
