label,exp,tier,dist,problema,D,M,N,I_eff,n_ger,status,motivo_parada,schema_version,repo_hash,campanha_id,u1_fe,u1_tempo_aval,u1_init,u1_fe_index,u1_N_esperado,u3_timing_linhas,u3_ger_51i,u10_nger,u10_denso,u10_ledger,u10_fases,u4_2blocos,u4_20000,u4_linhas,u4_ger_null,u8_fetreino,u9_cache,n_guard,n_retry,n_footer,guards,u11_pop_vazia,u11_rsid,n_sur,f3_monot,f3_passo,f3_ngps_folhas,f3_teto,cobertura_final,cob_completa,prof_max,I_max,pop_max,pop_min_1_50,c11_nacum,n_final,n_nd,u2_dx,u2_df,u2_hash,u2_doe,f1_bitid,f1_1000,u5_dx,f2_nan_1_50,f2_nan_build,f2_nan_final,f2_nan_sonda,n_sigma_valido_sonda,u12_nd,u12_link,u12_ratio,u12_osid_null,u7_viol,u7_igual,u7_sonda_linhas
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,10,1510,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,189120,1,1,1,1,0.9233333333333333,0,4,10,105,49,10,105,74,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.25934041111362094,6.358289620092195e-05,0.0757,55458,1,0.0,0.7047619047619048,1,1,9,1
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,6,1306,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,85561,1,1,1,1,0.28175,0,5,10,50,18,6,36,7,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.16636089634386056,0.0020036910097548117,0.714975,11401,1,0.0,0.19444444444444445,1,0,6,1
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,6,1306,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,101094,1,1,1,1,0.55725,0,3,7,50,7,6,50,50,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.13668633991959628,0.00035422950023277937,0.44275,22290,1,0.0,1.0,1,0,6,1
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,7,1357,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,100912,1,1,1,1,0.324,0,9,20,50,32,7,50,17,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.5319997250292157,0.19389625795319745,0.677825,12887,1,0.0,0.34,1,0,7,1
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,14,1714,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,183239,1,1,1,1,0.8358333333333334,0,6,17,96,46,14,87,84,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.2970932689580113,0.0012685812125457234,0.052866666666666666,56828,1,0.0,0.9655172413793104,1,0,14,1
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,10,1510,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,186293,1,1,1,1,1.0,1,5,10,105,35,10,100,98,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.25793563682662335,0.0,0.0,60000,1,0.0,0.98,1,0,10,1
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,8,1408,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,61597,1,1,1,1,0.23625000000000002,0,4,10,50,12,8,1,1,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.048673927758291796,0.018986157875046764,0.898625,4055,1,0.0,1.0,1,0,8,1
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,7,1357,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,97922,1,1,1,1,1.0,1,3,7,50,5,7,50,50,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.13951535508637236,0.0,0.0,40000,1,0.0,1.0,1,0,7,1
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,10,1510,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,100287,1,1,1,1,0.41000000000000003,0,6,20,50,29,10,27,3,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.31958507717924484,0.03555666474018809,0.477725,20891,1,0.0,0.1111111111111111,1,0,10,1
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,144031,1,1,1,1,1.0,1,2,4,95,7,4,94,93,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.08323307110905445,0.0,0.0,60000,1,0.0,0.9893617021276596,1,0,4,1
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,0,145951,1,1,1,1,1.0,1,1,4,105,6,4,93,92,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.0747140760433109,0.0,0.0,60000,1,0.0,0.989247311827957,1,0,4,1
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,0,86154,1,1,1,1,0.33627019089574156,0,2,4,50,3,4,50,2,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.0443169968717414,9.452242544543692e-05,0.6411,14356,1,0.0,0.04,1,0,4,1
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,0,95114,1,1,1,1,0.8385360602798708,0,2,4,50,3,4,50,50,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.0559971098265896,0.00011093630239219009,0.161525,33539,1,0.0,1.0,1,0,4,1
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,0,86240,1,1,1,1,0.6666666666666666,0,2,4,50,4,4,50,49,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.07682811016144349,0.003087248322147651,0.33375,26650,1,0.0,0.98,1,0,4,1
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,hard_error,1,0,122334,1,1,1,1,1.0,1,2,4,81,8,4,74,61,0,0,0,1,1,1,2.9802322387695312e-08,1.0,0.13539152587825154,0.0,0.0,60000,1,0.0,0.8243243243243243,1,0,4,1
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,0,128918,1,1,1,1,1.0,1,2,4,97,7,4,79,65,0,0,0,1,1,1,2.9802322387695312e-08,1.0,0.10946896340841912,0.0,0.0,60000,1,0.0,0.8227848101265823,1,0,4,1
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,hard_error,1,0,94352,1,1,1,1,0.4977973568281938,0,2,4,50,6,4,50,1,0,0,0,1,1,1,1.9073486328125e-06,1.0,0.07007263123142951,0.0005073093966124156,0.696975,12121,1,0.0,0.02,1,0,4,1
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,94981,1,1,1,1,1.0,1,2,4,50,3,4,50,50,0,0,0,1,1,1,2.9802322387695312e-08,1.0,0.06312808331810707,0.0,0.0,40000,1,0.0,1.0,1,1,3,1
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,95899,1,1,1,1,0.8042071197411003,0,1,4,50,3,4,50,5,0,0,0,1,1,1,2.384185791015625e-07,1.0,0.03034776902887139,1.0039555850049194e-05,0.091225,36351,1,0.0,0.1,1,0,4,1
