problema,D,M,geracao,n_treino,lote_log,nivel,ramo_QU,n_front1_log,n_front1_rec,n_front2_log,n_front2_rec,lote_rec,fit1max_log,fit1max_rec,fit1min_log,fit1min_rec,fit1med_log,fit1med_rec,fit2med_log,fit2med_rec,fit3med_log,fit3med_rec,Qmin_log,Qmin_rec,Qmax_log,Qmax_rec,Umin_log,Umin_rec,Umax_log,Umax_rec,Upool_log,Upool_rec,s0_obsmax,s0_eq,s0_corr,s0_int,s0_max_teorico,s1_relmed,s1_relmed_ddof0,dmu_max,dmu_med,dmu_med_rel,rcond,solved,n_pool,fe_treino_max,hp_n
BBOB_F1,10,2,35,221,4,3,True,161,164,23,21,4,0.009670274733994233,0.009670253698954412,0.00021637032714499904,0.00021637286007705758,0.004315765916594938,0.004088613034375799,0.8458526292900155,0.7943937986703777,0.0030206955844000335,0.0030206901811444258,28.0,26,46.0,42,6.0,4,44.0,40,392,392,392.0,0.795,0.9991601384591489,1.0,398,0.00029017053992563976,0.18366605693535373,0.25327389046515236,0.003122616643918441,0.0001520364685913469,3.276734041880043e-07,True,200,220,221
BBOB_F1,10,2,36,225,4,3,True,159,167,18,19,4,0.010739660424753855,0.009160913778154783,0.0005195569550539899,0.000519556867813388,0.003607471305324593,0.0036251950762232754,0.8866985847147788,0.8944461161588001,0.002986579708058256,0.0029745636283359618,22.0,23,34.0,38,4.0,4,34.0,36,382,382,382.0,0.76,0.9986786786966796,1.0,398,0.000232215820881039,0.18362107870160393,0.15680148007046435,0.0026424950082777343,0.0001286485707663449,3.2440971357875384e-07,True,200,224,225
BBOB_F1,10,2,37,228,4,3,True,149,154,13,15,6,0.011191194780868483,0.011191198358524057,0.0011791393598452396,0.0011791392874022193,0.004918936921323128,0.004401664528800836,0.9671621035119928,0.9509622610906504,0.0030490981342850324,0.002922522565699845,17.0,18,25.0,29,2.0,4,24.0,28,368,362,368.0,0.215,0.990117935479123,1.0,398,0.00423970626876277,0.18351688156657975,0.229197803588572,0.002187062095055259,0.00010567442976399459,2.995588220546009e-07,True,200,227,229
BBOB_F1,10,2,38,232,5,3,True,154,156,18,18,5,0.011941321410561478,0.01194132383564922,3.152670580341965e-05,3.154515550629622e-05,0.001751629374443571,0.0017516316488281232,0.9403159784657191,0.9410566484948941,0.002698331934074977,0.0026984739184576488,21.0,21,36.0,36,2.0,2,34.0,34,390,390,390.0,0.805,0.999531737177626,1.0,398,0.00021488774454118945,0.18359137697790634,0.26454893943633917,0.002495417550600232,0.00012134491711538065,2.4922469362044527e-08,True,200,231,232
BBOB_F1,10,2,39,237,3,3,True,150,152,11,11,3,0.013723561232087067,0.013723566870272097,0.0025716182146978683,0.002571627801604165,0.006086610452508606,0.006086602537320407,0.907847912339208,0.9074522573328292,0.0029927564448186876,0.0029927593824436083,15.0,15,22.0,22,6.0,6,20.0,20,390,390,390.0,0.755,0.9960155240109808,1.0,398,0.00024515008418081507,0.18358210669101876,0.16462074219884515,0.0028501921887995607,0.00013754003240619073,2.3591606616578388e-08,True,200,236,237
BBOB_F1,10,2,40,240,6,3,True,139,148,17,16,7,0.014446371294240395,0.01444636514734185,0.0,0.0,0.004538173821212299,0.004431181476299298,0.9398171005663247,0.9366317722704494,0.002281775299986396,0.002286464593170971,21.0,19,34.0,32,8.0,4,30.0,28,384,384,384.0,0.835,0.9982589171811855,1.0,398,0.00021620372982645173,0.1835756226843155,0.19730300126677613,0.0025827628304829625,0.00012572004507056112,1.9909164790007244e-08,True,200,239,240
BBOB_F1,10,2,41,246,3,3,True,141,146,17,17,4,0.014570307083578468,0.014570310312474521,0.0003509891157196035,0.0003509881168570622,0.004259692527122466,0.00425969609406146,0.8727771514653302,0.8747966241843553,0.0020964876022672692,0.0022899743534810536,21.0,20,34.0,34,4.0,4,32.0,32,384,384,384.0,0.83,0.9996189666157218,1.0,398,0.00023126064608878892,0.18358694634222605,0.16728725284462775,0.002869391644412911,0.00013895608303792455,1.7947210605140944e-08,True,200,245,246
BBOB_F1,10,2,42,249,3,3,True,147,156,14,14,4,0.013848748062715965,0.01384874167555289,2.712910002591537e-05,2.7130222311464586e-05,0.0038656833995549898,0.002850948580147998,0.9421117735609927,0.9421317028103504,0.0021973300381091356,0.002329110831708622,16.0,16,27.0,27,8.0,4,26.0,26,398,398,398.0,0.83,0.9987140221205386,1.0,398,0.0001637843817109549,0.1835475178696582,0.13562555761477657,0.0019486460742044187,9.466088182507579e-05,1.6583784430148754e-08,True,200,248,249
BBOB_F1,10,2,43,252,4,3,True,138,153,23,18,5,0.015486132268336644,0.010659904931091313,0.00026586780722338485,0.000265868194409955,0.003754453102051304,0.003118883853234406,0.899764321873814,0.8879496257215389,0.002610440148486294,0.002625753006724728,26.0,21,47.0,36,10.0,0,44.0,34,386,386,386.0,0.86,0.99890910720324,1.0,398,0.00020087362825968452,0.18356496217804047,0.18039794011090649,0.0026175517643141077,0.0001274462923318451,1.640684636691471e-08,True,200,251,252
BBOB_F1,10,2,44,256,4,3,True,148,153,16,16,4,0.013559893852103183,0.013559888565378458,0.0,0.0,0.0031141432033172573,0.003114130608946568,0.9436590673513479,0.941641639207323,0.004065480674449585,0.004065502469793453,21.0,21,31.0,31,4.0,4,30.0,30,378,378,378.0,0.87,0.9997829697226572,1.0,398,0.00016622923162907128,0.18356154354661877,0.07109396401225576,0.0017605847722075296,8.544393807377445e-05,1.5703167415221333e-08,True,200,255,256
BBOB_F1,10,2,45,259,3,3,True,137,153,19,17,4,0.01565968561486278,0.0139179184164277,6.724068569177732e-05,0.0002430123295902309,0.0048346129109247404,0.004457447012078199,0.9999999999996882,1.0000000000009108,0.0024708619390060227,0.002488982323739936,24.0,23,37.0,32,6.0,8,34.0,30,392,392,392.0,0.15,0.9120771836319824,1.0,398,0.0008541415363481086,0.18350340794157619,0.08247255117453578,0.001546726804276588,7.50545988392308e-05,1.557461116793962e-08,True,200,258,260
